"source","translation_en_US"
"families","families"
"This home already committed its 3 civilians","This home already committed its 3 civilians"
"Click Map to Set Rally","Click Map to Set Rally"
"Set Rally Point","Set Rally Point"
"BUILDER CONSTRUCTION","BUILDER CONSTRUCTION"
"Select a structure to build","Select a structure to build"
"Cut Tree","Cut Tree"
"Collect Stone","Collect Stone"
"Collect Iron Ore","Collect Iron Ore"
"Task: %1","Task: %1"
"Building: %1","Building: %1"
"Build Catapult\n%1\nCost: %2\nBuild time: %3s","Build Catapult\n%1\nCost: %2\nBuild time: %3s"
"Build Ballista\n%1\nCost: %2\nBuild time: %3s","Build Ballista\n%1\nCost: %2\nBuild time: %3s"
"Build Defense Tower\n%1\nCost: %2\nBuild time: %3s","Build Defense Tower\n%1\nCost: %2\nBuild time: %3s"
"Build Home\n%1\nCost: %2\nBuild time: %3s","Build Home\n%1\nCost: %2\nBuild time: %3s"
"Build Wall Segment\n%1\nCost: %2\nBuild time: %3s","Build Wall Segment\n%1\nCost: %2\nBuild time: %3s"
"Build Wall Gate\n%1\nCost: %2\nBuild time: %3s","Build Wall Gate\n%1\nCost: %2\nBuild time: %3s"
"Build Marketplace\n%1\nCost: %2\nBuild time: %3s","Build Marketplace\n%1\nCost: %2\nBuild time: %3s"
"MARKETPLACE","MARKETPLACE"
"Trade resources for gold at fixed exchange rates","Trade resources for gold at fixed exchange rates"
"Select your marketplace to trade","Select your marketplace to trade"
"Gold: %1    Trade size: %2","Gold: %1    Trade size: %2"
"Trading is available only for your own marketplace.","Trading is available only for your own marketplace."
"You have %1","You have %1"
"Buy %1 (%2g)","Buy %1 (%2g)"
"Spend %1 gold to buy %2 %3","Spend %1 gold to buy %2 %3"
"Sell %1 (+%2g)","Sell %1 (+%2g)"
"Sell %1 %2 for %3 gold","Sell %1 %2 for %3 gold"
"Mounted Knight","Mounted Knight"
"Horse Archer","Horse Archer"
"Horse Spearman","Horse Spearman"
"War Elephant","War Elephant"
"Temple","Temple"
"Build Temple\n%1\nCost: %2\nBuild time: %3s","Build Temple\n%1\nCost: %2\nBuild time: %3s"
"Sanctuary of the nation\nWide vision and a durable settlement anchor","Sanctuary of the nation\nWide vision and a durable settlement anchor"
"TEMPLE","TEMPLE"
"The sanctuary of your nation, raised in its own architectural style","The sanctuary of your nation, raised in its own architectural style"
"Watches over a wide stretch of ground and holds a settlement together","Watches over a wide stretch of ground and holds a settlement together"
"Food","Food"
"Need %1","Need %1"
"Build siege weapons, structures, and gather wood, stone, iron, and food","Build siege weapons, structures, and gather wood, stone, iron, and food"
"Harvest Grain","Harvest Grain"
"Slaughter Sheep","Slaughter Sheep"
"Farm","Farm"
"Build Farm\n%1\nCost: %2\nBuild time: %3s","Build Farm\n%1\nCost: %2\nBuild time: %3s"
"Grows grain in cycles\nBuilders reap it for the food that recruits civilians","Grows grain in cycles\nBuilders reap it for the food that recruits civilians"
"FARM","FARM"
"Grain ripens every %1s and a builder reaps %2 food from it","Grain ripens every %1s and a builder reaps %2 food from it"
"Ripe","Ripe"
"%1% grown · %2s","%1% grown · %2s"
"Select your farm to see its crop.","Select your farm to see its crop."
"A builder is on its way to harvest.","A builder is on its way to harvest."
"Send a builder with Collect, or leave Auto Gather running.","Send a builder with Collect, or leave Auto Gather running."
"Harvested %1 times so far.","Harvested %1 times so far."
"Select a barracks or temple before setting a rally point.","Select a barracks or temple before setting a rally point."
"TAKE VOWS","TAKE VOWS"
"Deliver civilians here to raise the temple's reserve","Deliver civilians here to raise the temple's reserve"
"Barracks reserve: %1 / %2","Barracks reserve: %1 / %2"
"Temple reserve: %1 / %2","Temple reserve: %1 / %2"
"QUEUE","QUEUE"
"wood","wood"
"stone","stone"
"iron","iron"
"Select your marketplace to trade.","Select your marketplace to trade."
"Not enough gold to buy %1.","Not enough gold to buy %1."
"Not enough %1 to sell.","Not enough %1 to sell."
"food","food"
"The marketplace does not trade that.","The marketplace does not trade that."
"System","System"
"Camera","Camera"
"Selection","Selection"
"Orders","Orders"
"Commander movement","Commander movement"
"Commander combat","Commander combat"
"Open menu","Open menu"
"Also cancels a placement or rally in progress","Also cancels a placement or rally in progress"
"Switch between army and commander","Switch between army and commander"
"Quick save","Quick save"
"Quick load","Quick load"
"Pause","Pause"
"Pan camera up","Pan camera up"
"Pan camera down","Pan camera down"
"Pan camera left","Pan camera left"
"Pan camera right","Pan camera right"
"Rotate camera left","Rotate camera left"
"Rotate camera right","Rotate camera right"
"Select unit or drag a selection box","Select unit or drag a selection box"
"Select all troops","Select all troops"
"Move or attack-move to the cursor","Move or attack-move to the cursor"
"Stop","Stop"
"Attack","Attack"
"Move","Move"
"Patrol","Patrol"
"Guard","Guard"
"Hold position","Hold position"
"Deploy the selection in a formation","Deploy the selection in a formation"
"Opens the formation planner for the selected troops","Opens the formation planner for the selected troops"
"Place commander rally flag","Place commander rally flag"
"Move forward","Move forward"
"Move back","Move back"
"Strafe left","Strafe left"
"Strafe right","Strafe right"
"Turn left","Turn left"
"Turn right","Turn right"
"Sprint","Sprint"
"Dodge","Dodge"
"Jump","Jump"
"Block","Block"
"Cycle locked target","Cycle locked target"
"Vanguard rush","Vanguard rush"
"Second wind","Second wind"
"Commanding aura","Commanding aura"
"Rally nearby troops","Rally nearby troops"
"Switch between melee weapon and bow","Switch between melee weapon and bow"
"Toggle first and third person","Toggle first and third person"
"Speed up the battle","Speed up the battle"
"Steps through the speeds shown on the top bar","Steps through the speeds shown on the top bar"
"Slow down the battle","Slow down the battle"
"Slides the view north over the battlefield. Hold Shift to cover twice the ground per step.","Slides the view north over the battlefield. Hold Shift to cover twice the ground per step."
"Slides the view south. Hold Shift to move faster.","Slides the view south. Hold Shift to move faster."
"Slides the view west. Hold Shift to move faster.","Slides the view west. Hold Shift to move faster."
"Slides the view east. Hold Shift to move faster.","Slides the view east. Hold Shift to move faster."
"Swings the view anticlockwise around the point you are looking at. Hold Shift to swing further.","Swings the view anticlockwise around the point you are looking at. Hold Shift to swing further."
"Swings the view clockwise around the point you are looking at. Hold Shift to swing further.","Swings the view clockwise around the point you are looking at. Hold Shift to swing further."
"Tilt camera up","Tilt camera up"
"Raises the camera towards an overhead view. Hold Shift to tilt further.","Raises the camera towards an overhead view. Hold Shift to tilt further."
"Tilt camera down","Tilt camera down"
"Lowers the camera towards the horizon. Hold Shift to tilt further.","Lowers the camera towards the horizon. Hold Shift to tilt further."
"Zoom in","Zoom in"
"Moves the camera closer. The mouse wheel does the same.","Moves the camera closer. The mouse wheel does the same."
"Zoom out","Zoom out"
"Pulls the camera back. The mouse wheel does the same.","Pulls the camera back. The mouse wheel does the same."
"Reset camera","Reset camera"
"Returns to your own camp at the framing the mission opened with. The top bar has the same button.","Returns to your own camp at the framing the mission opened with. The top bar has the same button."
"Takes priority over anything else on its key while a rally can be placed","Takes priority over anything else on its key while a rally can be placed"
"No ground under the cursor","No ground under the cursor"
"Cannot reach","Cannot reach"
"No match is running","No match is running"
"Spectating","Spectating"
"Nothing selected","Nothing selected"
"No target under the cursor","No target under the cursor"
"Hauling a load - cannot be interrupted","Hauling a load - cannot be interrupted"
"Heavy attack","Heavy attack"
"Branches or finishes the current commander combo","Branches or finishes the current commander combo"
"Weapon special","Weapon special"
"Use while guarding to shield bash","Use while guarding to shield bash"
"Rotate structure outline left","Rotate structure outline left"
"Turns the structure or wall you are placing anticlockwise. The mouse wheel does the same.","Turns the structure or wall you are placing anticlockwise. The mouse wheel does the same."
"Rotate structure outline right","Rotate structure outline right"
"Turns the structure or wall you are placing clockwise. The mouse wheel does the same.","Turns the structure or wall you are placing clockwise. The mouse wheel does the same."
"Recruit %1","Recruit %1"
"Show unit details","Show unit details"
"Gold","Gold"
"Food","Food"
"Timber","Timber"
"Stone","Stone"
"Iron","Iron"
"%1 %2/%3","%1 %2/%3"
"GUARD BROKEN","GUARD BROKEN"
"PUNISH","PUNISH"
"FINISHER","FINISHER"
"HP %1/%2","HP %1/%2"
"TARGET","TARGET"
"%1%","%1%"
"STAGGERED","STAGGERED"
"BOW  ·  X","BOW  ·  X"
"BLADE  ·  X","BLADE  ·  X"
"RUSH","RUSH"
"WIND","WIND"
"READY","READY"
"SPECIAL","SPECIAL"
"Save payload has no checksum","Save payload has no checksum"
"Save payload is corrupted (stored checksum mismatch)","Save payload is corrupted (stored checksum mismatch)"
"Save payload is corrupted (decompression failed)","Save payload is corrupted (decompression failed)"
"Save payload is corrupted (expected %1 bytes, got %2)","Save payload is corrupted (expected %1 bytes, got %2)"
"Save payload is corrupted (content checksum mismatch)","Save payload is corrupted (content checksum mismatch)"
"Not a Standard of Iron save file","Not a Standard of Iron save file"
"Unsupported save file version %1 (expected %2)","Unsupported save file version %1 (expected %2)"
"Save file header is truncated","Save file header is truncated"
"Save file header is corrupted: %1","Save file header is corrupted: %1"
"Save file uses an unknown compression format","Save file uses an unknown compression format"
"Save file declares implausible sizes","Save file declares implausible sizes"
"Save file body is truncated","Save file body is truncated"
"Save file preview image is corrupted","Save file preview image is corrupted"
"Cancel","Cancel"
"Save Name:","Save Name:"
"Enter save name...","Enter save name..."
"Save","Save"
"Existing Saves","Existing Saves"
"No Preview","No Preview"
"Slot: %1","Slot: %1"
"Last saved: %1","Last saved: %1"
"Overwrite","Overwrite"
"Confirm Overwrite","Confirm Overwrite"
"Are you sure you want to overwrite the save:\n""%1""?","Are you sure you want to overwrite the save:\n""%1""?"
"%1 - %2 (%3 KB on disk)","%1 - %2 (%3 KB on disk)"
"Campaign","Campaign"
"Skirmish","Skirmish"
"Untitled Save","Untitled Save"
"Unknown Map","Unknown Map"
"Name the save first.","Name the save first."
"Save game","Save game"
"Save failed","Save failed"
"Saving ""%1""","Saving ""%1"""
"Cancel","Cancel"
"Cannot export a save with an empty name","Cannot export a save with an empty name"
"Failed to begin transaction","Failed to begin transaction"
"Failed to commit transaction","Failed to commit transaction"
"Failed to open save database","Failed to open save database"
"Failed to read schema version","Failed to read schema version"
"Failed to record schema version","Failed to record schema version"
"Failed to drop table %1","Failed to drop table %1"
"Failed to create save schema","Failed to create save schema"
"Failed to prepare save query","Failed to prepare save query"
"Failed to persist save slot","Failed to persist save slot"
"Failed to read save slot","Failed to read save slot"
"Save slot '%1' not found","Save slot '%1' not found"
"Save slot '%1' uses unsupported format version %2","Save slot '%1' uses unsupported format version %2"
"Save slot '%1' uses an unknown compression format","Save slot '%1' uses an unknown compression format"
"Failed to enumerate save slots","Failed to enumerate save slots"
"Failed to look up save slot","Failed to look up save slot"
"Failed to store save preview","Failed to store save preview"
"Failed to delete save slot","Failed to delete save slot"
"Failed to get campaign progress","Failed to get campaign progress"
"Failed to mark campaign as completed","Failed to mark campaign as completed"
"Failed to prepare mission result insert","Failed to prepare mission result insert"
"Failed to save mission result","Failed to save mission result"
"Failed to get mission progress","Failed to get mission progress"
"Failed to get campaign mission progress","Failed to get campaign mission progress"
"Failed to register campaign mission","Failed to register campaign mission"
"Failed to mark mission as completed","Failed to mark mission as completed"
"Failed to unlock next mission","Failed to unlock next mission"
"Failed to prune removed campaign missions","Failed to prune removed campaign missions"
"Failed to look up the completed mission","Failed to look up the completed mission"
"Mission %1 is not part of campaign %2","Mission %1 is not part of campaign %2"
"Failed to find the next mission","Failed to find the next mission"
"Failed to count remaining missions","Failed to count remaining missions"
"Settings","Settings"
"Close","Close"
"Language","Language"
"Select Language:","Select Language:"
"Language changes apply immediately","Language changes apply immediately"
"Protanopia (red-blind)","Protanopia (red-blind)"
"Deuteranopia (green-blind)","Deuteranopia (green-blind)"
"Tritanopia (blue-blind)","Tritanopia (blue-blind)"
"Standard","Standard"
"Audio Settings","Audio Settings"
"Master Volume:","Master Volume:"
"Music Volume:","Music Volume:"
"SFX Volume:","SFX Volume:"
"Voice Volume:","Voice Volume:"
"Ambience Volume:","Ambience Volume:"
"Graphics Settings","Graphics Settings"
"Graphics Quality:","Graphics Quality:"
"Autosave","Autosave"
"Autosaves to keep:","Autosaves to keep:"
"Autosave every:","Autosave every:"
"Off","Off"
"%1 min","%1 min"
"Older autosaves beyond this count are deleted automatically.","Older autosaves beyond this count are deleted automatically."
"Accessibility","Accessibility"
"Interface Scale:","Interface Scale:"
"Colour Vision:","Colour Vision:"
"Reduce motion","Reduce motion"
"Removes transitions and idle animations across every screen","Removes transitions and idle animations across every screen"
"High contrast","High contrast"
"Raises panel and text contrast for low vision","Raises panel and text contrast for low vision"
"Always show keyboard focus","Always show keyboard focus"
"Keeps the focus outline visible even after clicking","Keeps the focus outline visible even after clicking"
"These settings apply to the campaign, skirmish and editor tools alike.","These settings apply to the campaign, skirmish and editor tools alike."
"About","About"
"Standard of Iron - RTS game","Standard of Iron - RTS game"
"Version %1","Version %1"
"Third-Party Software","Third-Party Software"
"This game uses the Qt framework, licensed under the GNU Lesser General Public License v3 (LGPL v3).","This game uses the Qt framework, licensed under the GNU Lesser General Public License v3 (LGPL v3)."
"Qt is dynamically linked, allowing you to replace Qt libraries with your own versions.","Qt is dynamically linked, allowing you to replace Qt libraries with your own versions."
"LGPL v3 License","LGPL v3 License"
"Qt Website","Qt Website"
"Controls","Controls"
"Edge scrolling","Edge scrolling"
"Team ring patterns","Team ring patterns"
"On automatically while a colour vision mode is selected","On automatically while a colour vision mode is selected"
"Marks each side with its own selection ring shape as well as its colour","Marks each side with its own selection ring shape as well as its colour"
"Screen effects:","Screen effects:"
"Camera motion:","Camera motion:"
"Reduces head bob and sway while leading the commander. It never limits camera movement you ask for.","Reduces head bob and sway while leading the commander. It never limits camera movement you ask for."
"Music and sound effects generated with ElevenLabs under a licence that permits commercial use.","Music and sound effects generated with ElevenLabs under a licence that permits commercial use."
"Voice lines recorded by Adam Djellouli.","Voice lines recorded by Adam Djellouli."
"ElevenLabs","ElevenLabs"
"Pans the camera when the cursor reaches the edge of the screen. Keyboard panning, right-drag and the minimap keep working either way.","Pans the camera when the cursor reaches the edge of the screen. Keyboard panning, right-drag and the minimap keep working either way."
"Edge scroll strength:","Edge scroll strength:"
"Sets both how far in from the edge the band reaches and how fast the camera moves inside it. At this setting the band is %1 px along the sides and %2 px along the top and bottom, measured at your interface scale.","Sets both how far in from the edge the band reaches and how fast the camera moves inside it. At this setting the band is %1 px along the sides and %2 px along the top and bottom, measured at your interface scale."
"Important only","Important only"
"All hits","All hits"
"Damage numbers:","Damage numbers:"
"Numbers are a readout, not the feedback. Combat stays readable from motion, sound and hit reactions with them off.","Numbers are a readout, not the feedback. Combat stays readable from motion, sound and hit reactions with them off."
"Borderless","Borderless"
"Windowed","Windowed"
"Fullscreen","Fullscreen"
"Display Settings","Display Settings"
"Window Mode:","Window Mode:"
"VSync","VSync"
"Synchronises frames with your display to remove tearing. Toggling it takes effect the next time the game starts.","Synchronises frames with your display to remove tearing. Toggling it takes effect the next time the game starts."
"Show FPS counter","Show FPS counter"
"Displays a small frame-rate readout during battle","Displays a small frame-rate readout during battle"
"Camera pan speed:","Camera pan speed:"
"Camera zoom speed:","Camera zoom speed:"
"Camera rotation speed:","Camera rotation speed:"
"Scales keyboard panning, zooming and rotation; drag and minimap movement stay unchanged.","Scales keyboard panning, zooming and rotation; drag and minimap movement stay unchanged."
"Economy numbers","Economy numbers"
"Floats resource, trade and reserve changes over the building they happened at","Floats resource, trade and reserve changes over the building they happened at"
"Camera legend","Camera legend"
"Economy prompts","Economy prompts"
"Formation readout","Formation readout"
"Lists the camera controls the first time a mission starts","Lists the camera controls the first time a mission starts"
"Walks through the opening economy steps of a mission","Walks through the opening economy steps of a mission"
"Shows cohesion and phase after you send several units somewhere together, until the selection changes","Shows cohesion and phase after you send several units somewhere together, until the selection changes"
"Prompts and readouts:","Prompts and readouts:"
"Invalid team configuration: At least two teams must be selected to start a match.","Invalid team configuration: At least two teams must be selected to start a match."
"The order was excellent. It was given to nobody.","The order was excellent. It was given to nobody."
"There is no road to that place. There may never have been one.","There is no road to that place. There may never have been one."
"The quartermaster has checked twice. There is nothing behind the second check.","The quartermaster has checked twice. There is nothing behind the second check."
"We have the barracks, the coin and the will. We lack the people.","We have the barracks, the coin and the will. We lack the people."
"They are carrying something heavier than your orders.","They are carrying something heavier than your orders."
"Willing, sir. Simply not that willing, and not from here.","Willing, sir. Simply not that willing, and not from here."
"Those are not ours to command. They have been very clear about it.","Those are not ours to command. They have been very clear about it."
"Nothing there answers to that order. We checked.","Nothing there answers to that order. We checked."
"Red","Red"
"Blue","Blue"
"Brown","Brown"
"Green","Green"
"Yellow","Yellow"
"Orange","Orange"
"Purple","Purple"
"Cyan","Cyan"
"Pink","Pink"
"stone %1 / %2 · iron %3 / %4","stone %1 / %2 · iron %3 / %4"
"Builders cannot fight. This order needs soldiers - select the spearmen, archers or swordsmen near your camp.","Builders cannot fight. This order needs soldiers - select the spearmen, archers or swordsmen near your camp."
"That is a building. Orders in this step need soldiers - left-click one of the troops standing near your camp.","That is a building. Orders in this step need soldiers - left-click one of the troops standing near your camp."
"Nothing is selected, so there is nobody to receive the order. Left-click a soldier or drag a box around several.","Nothing is selected, so there is nobody to receive the order. Left-click a soldier or drag a box around several."
"Collect and Build are only available to builders - soldiers and buildings cannot do this work. Select a builder (the worker with the hammer) first.","Collect and Build are only available to builders - soldiers and buildings cannot do this work. Select a builder (the worker with the hammer) first."
"No builder is selected. Left-click one of the builders standing by your barracks.","No builder is selected. Left-click one of the builders standing by your barracks."
"That is a building. Left-click one of the soldiers standing near your camp instead.","That is a building. Left-click one of the soldiers standing near your camp instead."
"A Home costs %1 wood and %2 stone; you have %3 wood and %4 stone. The Build card stays grey until the yard holds enough - send a builder to collect the difference.","A Home costs %1 wood and %2 stone; you have %3 wood and %4 stone. The Build card stays grey until the yard holds enough - send a builder to collect the difference."
"A red outline means the site is blocked: too close to another building, on water or on a slope. Move it onto flat, open ground and left-click to confirm. Right-click cancels.","A red outline means the site is blocked: too close to another building, on water or on a slope. Move it onto flat, open ground and left-click to confirm. Right-click cancels."
"Recruits come from the barracks. Left-click your barracks to open its production panel on the right.","Recruits come from the barracks. Left-click your barracks to open its production panel on the right."
"The barracks has only %1 reserve left to draw on. Every recruit costs reserve; when it runs dry, build Homes - each Home raises families, and a civilian recruited there and sent to the barracks with Deliver refills it.","The barracks has only %1 reserve left to draw on. Every recruit costs reserve; when it runs dry, build Homes - each Home raises families, and a civilian recruited there and sent to the barracks with Deliver refills it."
"A recruit card turns grey when a resource is short: soldiers need wood for shafts and iron for blades. Send a builder to collect more.","A recruit card turns grey when a resource is short: soldiers need wood for shafts and iron for blades. Send a builder to collect more."
"The raiders are here. Keep your soldiers together near the barracks: spearmen in front, archers behind, and the commander close so his aura reaches them.","The raiders are here. Keep your soldiers together near the barracks: spearmen in front, archers behind, and the commander close so his aura reaches them."
"The Roman raid is on its way. The wave tracker under the top bar counts it down and the minimap marks where it will enter.","The Roman raid is on its way. The wave tracker under the top bar counts it down and the minimap marks where it will enter."
"The Aura command only appears when your commander is selected. He is the standard-bearer with the crown badge, near the barracks.","The Aura command only appears when your commander is selected. He is the standard-bearer with the crown badge, near the barracks."
"The aura is recharging or the commander is wounded; the button lights up again when it is ready.","The aura is recharging or the commander is wounded; the button lights up again when it is ready."
"The Roman commander is still alive. A nation dies with the man who leads it - kill him and the camp falls.","The Roman commander is still alive. A nation dies with the man who leads it - kill him and the camp falls."
"Select your troops","Select your troops"
"Move, and read the feedback","Move, and read the feedback"
"Attack the Roman scouts","Attack the Roman scouts"
"Fell timber","Fell timber"
"Quarry stone, mine iron","Quarry stone, mine iron"
"Raise a Home","Raise a Home"
"Recruit a soldier","Recruit a soldier"
"Assemble an army","Assemble an army"
"Defend the camp","Defend the camp"
"Guard, Hold and Patrol","Guard, Hold and Patrol"
"Your commander","Your commander"
"The camera","The camera"
"Pause and game speed","Pause and game speed"
"Objectives","Objectives"
"Take the Roman camp","Take the Roman camp"
"Everything starts with a selection. Left-click a soldier to select it, or hold the left button and drag a box around several. Selected troops show a ring at their feet, and the panel at the bottom lists who is under your command.","Everything starts with a selection. Left-click a soldier to select it, or hold the left button and drag a box around several. Selected troops show a ring at their feet, and the panel at the bottom lists who is under your command."
"With troops selected, right-click on the ground to march there. A marker appears where they are headed and the banner above the command grid confirms the order. A rejected order says why it could not be carried out - read the banner when nothing happens.","With troops selected, right-click on the ground to march there. A marker appears where they are headed and the banner above the command grid confirms the order. A rejected order says why it could not be carried out - read the banner when nothing happens."
"A Roman scouting party stands just beyond your tents; the minimap marks enemies in red. Right-click an enemy to attack it, or press Attack and click the target. While your troops fight, the target panel above the command grid tracks the enemy's health.","A Roman scouting party stands just beyond your tents; the minimap marks enemies in red. Right-click an enemy to attack it, or press Attack and click the target. While your troops fight, the target panel above the command grid tracks the enemy's health."
"Wood pays for nearly everything. Select a builder, press Collect and click a pine tree. The builder fells it, carries the logs to the stone yard beside your barracks, and only when the load is dropped there does the wood counter in the top bar rise. Auto Gather keeps a builder working the nearest nodes on its own.","Wood pays for nearly everything. Select a builder, press Collect and click a pine tree. The builder fells it, carries the logs to the stone yard beside your barracks, and only when the load is dropped there does the wood counter in the top bar rise. Auto Gather keeps a builder working the nearest nodes on its own."
"Boulders yield stone for buildings and towers; ore seams yield iron for blades and armour. Both are hauled to the same barracks yard, which fills up as your stores grow. Gold comes with the camp and from trade at a marketplace. Set one builder on the boulders and another on the ore.","Boulders yield stone for buildings and towers; ore seams yield iron for blades and armour. Both are hauled to the same barracks yard, which fills up as your stores grow. Gold comes with the camp and from trade at a marketplace. Set one builder on the boulders and another on the ore."
"Select a builder and press Build to open the structure list. Each card shows its cost in wood, stone and gold; a grey card means you cannot afford it yet. Choose Home, then move the outline: green means the ground is flat and clear, red means it is blocked. Scroll to rotate, left-click to confirm. Homes raise the families your barracks will later recruit from.","Select a builder and press Build to open the structure list. Each card shows its cost in wood, stone and gold; a grey card means you cannot afford it yet. Choose Home, then move the outline: green means the ground is flat and clear, red means it is blocked. Scroll to rotate, left-click to confirm. Homes raise the families your barracks will later recruit from."
"Left-click your barracks and pick a soldier from the production panel. Every recruit costs population and resources: the population comes from the barracks' own pool, shown on the card, and refills when civilians from your Homes are delivered to it. The bar in the top panel shows your army against the map's population cap.","Left-click your barracks and pick a soldier from the production panel. Every recruit costs population and resources: the population comes from the barracks' own pool, shown on the card, and refills when civilians from your Homes are delivered to it. The bar in the top panel shows your army against the map's population cap."
"One soldier is not an army. Keep recruiting until you field eight - mix spearmen to hold a line with archers to punish whatever charges it. If a card turns grey, the tutorial hint tells you what ran short. New recruits gather at the barracks' rally flag; set one from the production panel.","One soldier is not an army. Keep recruiting until you field eight - mix spearmen to hold a line with archers to punish whatever charges it. If a card turns grey, the tutorial hint tells you what ran short. New recruits gather at the barracks' rally flag; set one from the production panel."
"A Roman raid is coming. The wave tracker counts it down and the minimap marks its entry point. Form up near your barracks: spearmen in front, archers behind, and the commander close so his aura reaches them. Break the raid to continue.","A Roman raid is coming. The wave tracker counts it down and the minimap marks its entry point. Form up near your barracks: spearmen in front, archers behind, and the commander close so his aura reaches them. Break the raid to continue."
"Move the view with the arrow keys or WASD, or push the mouse to the screen edge. Scroll to zoom, Q and E rotate, Ctrl with the up and down arrows tilts, and Home returns to your camp. Follow keeps the camera on your selection. Move the camera now.","Move the view with the arrow keys or WASD, or push the mouse to the screen edge. Scroll to zoom, Q and E rotate, Ctrl with the up and down arrows tilts, and Home returns to your camp. Follow keeps the camera on your selection. Move the camera now."
"The top-left buttons pause the battle and set the speed, from half up to quadruple. Space pauses too, and + and - step through the speeds without reaching for the bar. The active speed stays lit while paused, and you can change it there. Change the speed or pause and resume now.","The top-left buttons pause the battle and set the speed, from half up to quadruple. Space pauses too, and + and - step through the speeds without reaching for the bar. The active speed stays lit while paused, and you can change it there. Change the speed or pause and resume now."
"The star in the top bar shows your current objective. Press Escape and choose Objectives to read the full briefing: what wins the mission, what loses it, and any optional goals. Open it now, then return to the battle.","The star in the top bar shows your current objective. Press Escape and choose Objectives to read the full briefing: what wins the mission, what loses it, and any optional goals. Open it now, then return to the battle."
"You know everything the field will ask of you. The Roman camp lies across the meadow. Gather your army, keep the commander behind the line, and take the camp: kill the Roman commander and the mission is won.","You know everything the field will ask of you. The Roman camp lies across the meadow. Gather your army, keep the commander behind the line, and take the camp: kill the Roman commander and the mission is won."
"Select at least one of your soldiers","Select at least one of your soldiers"
"Right-click the ground to move your selected troops","Right-click the ground to move your selected troops"
"Destroy the Roman scouting party (%1 soldiers)","Destroy the Roman scouting party (%1 soldiers)"
"Deliver %1 wood to your barracks yard","Deliver %1 wood to your barracks yard"
"Deliver %1 stone and %2 iron","Deliver %1 stone and %2 iron"
"Build a Home with a builder","Build a Home with a builder"
"Recruit a soldier at the barracks and wait for it to march out","Recruit a soldier at the barracks and wait for it to march out"
"Field at least %1 soldiers","Field at least %1 soldiers"
"Break the Roman raid","Break the Roman raid"
"Give a Guard, Hold or Patrol order","Give a Guard, Hold or Patrol order"
"Select your commander and trigger the Aura","Select your commander and trigger the Aura"
"Move, zoom or rotate the camera","Move, zoom or rotate the camera"
"Change the game speed or pause and resume","Change the game speed or pause and resume"
"Open the Objectives screen","Open the Objectives screen"
"Kill the Roman commander and take the camp","Kill the Roman commander and take the camp"
"Soldiers can be told how to behave, and the three orders are not the same. Guard: click a spot; they meet anything that comes near it, then walk back to it. Hold: they never take a step, but they reach further, hit harder and brace against a charge - archers and spearmen only. Patrol: click two waypoints and they march the beat between them, fighting whatever crosses it. Hover any of the three to read the full rules, then give one of them to your soldiers.","Soldiers can be told how to behave, and the three orders are not the same. Guard: click a spot; they meet anything that comes near it, then walk back to it. Hold: they never take a step, but they reach further, hit harder and brace against a charge - archers and spearmen only. Patrol: click two waypoints and they march the beat between them, fighting whatever crosses it. Hover any of the three to read the full rules, then give one of them to your soldiers."
"Your commander carries the standard. Troops near him fight with higher morale, and while he is selected two commands appear: Aura empowers every soldier in a ring around him for a stretch and then recharges - the button prints the radius, how long it lasts and how long until it returns - and Rally plants a flag that the army marches to. If he dies, your lines break and the mission is lost - keep him behind the spears. Trigger the Aura now.","Your commander carries the standard. Troops near him fight with higher morale, and while he is selected two commands appear: Aura empowers every soldier in a ring around him for a stretch and then recharges - the button prints the radius, how long it lasts and how long until it returns - and Rally plants a flag that the army marches to. If he dies, your lines break and the mission is lost - keep him behind the spears. Trigger the Aura now."
"Show me","Show me"
"Tutorial","Tutorial"
"Tutorial %1/%2 · %3","Tutorial %1/%2 · %3"
"Show","Show"
"Tutorial step","Tutorial step"
"TUTORIAL · STEP %1 OF %2","TUTORIAL · STEP %1 OF %2"
"Open the help screen","Open the help screen"
"Hide the tutorial card (it can be shown again)","Hide the tutorial card (it can be shown again)"
"Well done - the tutorial is complete.","Well done - the tutorial is complete."
"Well done. The next step follows in a moment, or press Continue.","Well done. The next step follows in a moment, or press Continue."
"Resume","Resume"
"Pause","Pause"
"Replay step","Replay step"
"Skip step","Skip step"
"Continue","Continue"
"End tutorial","End tutorial"
"Iron Sepulcher %1","Iron Sepulcher %1"
"The shrine answers to you now. Its dead fall still.","The shrine answers to you now. Its dead fall still."
"The shrine is broken. Every risen guardian crumbles.","The shrine is broken. Every risen guardian crumbles."
"Wave %1/%2","Wave %1/%2"
"The Iron Sepulcher wakes. %1 rises to meet you.","The Iron Sepulcher wakes. %1 rises to meet you."
"%1 claws out of the ground.","%1 claws out of the ground."
"The risen guardians are put down. The ground is quiet.","The risen guardians are put down. The ground is quiet."
"The barrow gives up its hoard: %1.","The barrow gives up its hoard: %1."
"Attack","Attack"
"Build","Build"
"Close the unit details","Close the unit details"
"Collect","Collect"
"Damage per second","Damage per second"
"Guard","Guard"
"Health","Health"
"Highlighted orders are the ones this selection can carry out right now.","Highlighted orders are the ones this selection can carry out right now."
"History","History"
"Hold","Hold"
"In the field","In the field"
"Medic","Medic"
"No details are available for this unit.","No details are available for this unit."
