"source","translation_tr_TR"
"No walkable spot near that resource.","O kaynağın yakınında yürünebilir yer yok."
"Select a tree, boulder, ore deposit, ripe farm or sheep.","Bir ağaç, kaya, cevher yatağı, olgun tarla ya da koyun seç."
"Something is already standing here.","Burada zaten bir şey duruyor."
"This ground cannot be cleared to build on.","Bu zemin inşa için temizlenemez."
"Nothing can be built on the water.","Suyun üstüne hiçbir şey inşa edilemez."
"The ground here is too steep to build on.","Buradaki zemin inşa için fazla dik."
"That is beyond the edge of the battlefield.","Orası savaş alanının sınırının ötesinde."
"That structure cannot be placed.","O yapı yerleştirilemez."
"Building factory unavailable.","Yapı üretimi kullanılamıyor."
"A wall already stands here.","Burada zaten bir sur duruyor."
"No part of this wall can stand there.","Bu surun hiçbir parçası oraya sığmıyor."
"Drag out a wall line first.","Önce bir sur hattı sürükle."
"Choose a build location.","Bir inşa yeri seç."
"That resource is already assigned.","O kaynak zaten atanmış."
"Nothing here is worth harvesting.","Burada toplanmaya değer bir şey yok."
"No resource here to work.","Burada işlenecek kaynak yok."
"No valid wall segments in that drag.","O sürüklemede geçerli sur parçası yok."
"No available builder.","Boş inşaatçı yok."
"Mounted Knight","Atlı Şövalye"
"Horse Archer","Atlı Okçu"
"Horse Spearman","Atlı Mızrakçı"
"War Elephant","Savaş Fili"
"reserve","yedek"
"Recruit %1\nCost: %2\nBuild time: %3s\nCarthage exclusive","%1 devşir\nBedel: %2\nİnşa süresi: %3sn\nKartaca'ya özel"
"Recruit %1\nCost: %2\nBuild time: %3s","%1 devşir\nBedel: %2\nİnşa süresi: %3sn"
"Food","Yiyecek"
"Wood","Odun"
"Stone","Taş"
"Iron","Demir"
"Catapult","Mancınık"
"Long-range siege weapon\nEffective against structures","Uzun menzilli kuşatma silahı\nYapılara karşı etkili"
"Ballista","Balista"
"Precision siege weapon\nEffective against units","İsabetli kuşatma silahı\nBirimlere karşı etkili"
"Defense Tower","Savunma Kulesi"
"Stationary defense structure\nShoots arrows at enemies","Sabit savunma yapısı\nDüşmanlara ok atar"
"Home","Ev"
"Residential building\nAdds +50 reserve to the nearest barracks","Konut yapısı\nEn yakın kışlaya +50 yedek ekler"
"Marketplace","Pazar"
"Trade building\nBuy or sell resources for gold","Ticaret yapısı\nAltın karşılığı kaynak al ya da sat"
"Wall Segment","Sur Parçası"
"Wooden defensive wall\nBlocks enemy movement","Ahşap savunma duvarı\nDüşman hareketini engeller"
"Wall Gate","Sur Kapısı"
"Gated opening in a wall\nOpens for your troops and allies","Bir surdaki kapılı açıklık\nBirliklerine ve müttefiklerine açılır"
"Need %1","%1 gerekiyor"
"%1 %2","%1 %2"
"Cannot recruit","Devşirilemiyor"
"Queue is full (5/5)","Sıra dolu (5/5)"
"Not enough reserve","Yeterli yedek yok"
"Already building...","Zaten inşa ediliyor..."
"QUEUE","SIRA"
"Barracks reserve: %1 / %2","Kışla yedeği: %1 / %2"
"%1s","%1sn"
"Idle","Beklemede"
"RECRUIT UNITS","BİRİM DEVŞİR"
"HOME RECRUITMENT","EVDE DEVŞİRME"
"Available civilians: %1 / %2","Elverişli siviller: %1 / %2"
"Recruit %1\nCost: %2\nBuild time: %3s\nUse Deliver mode, then click a friendly barracks to add to its reserve.","%1 devşir\nBedel: %2\nİnşa süresi: %3sn\nTeslim et kipini kullan, sonra yedeğine eklemek için dost bir kışlaya tıkla."
"families","aile"
"This home already committed its 3 civilians","Bu ev 3 sivilini çoktan verdi"
"Click Map to Set Rally","Toplanmayı Belirlemek İçin Haritaya Tıkla"
"Set Rally Point","Toplanma Noktasını Belirle"
"Set where newly recruited units will gather.\nRight-click to cancel.","Yeni devşirilen birimlerin toplanacağı yeri belirle.\nİptal için sağ tıkla."
"Select a barracks or temple before setting a rally point.","Toplanma noktası belirlemeden önce bir kışla ya da tapınak seç."
"Right-click to cancel","İptal için sağ tık"
"BUILDER CONSTRUCTION","İNŞAATÇI YAPIMI"
"Build siege weapons, structures, and gather wood, stone, iron, and food","Kuşatma silahları ve yapılar inşa et, odun, taş, demir ve yiyecek topla"
"Select a structure to build","İnşa edilecek bir yapı seç"
"Cut Tree","Ağaç Kes"
"Collect Stone","Taş Topla"
"Collect Iron Ore","Demir Cevheri Topla"
"Harvest Grain","Tahıl Biç"
"Slaughter Sheep","Koyun Kes"
"Farm","Tarla"
"Task: %1","Görev: %1"
"Building: %1","İnşa: %1"
"Build Catapult\n%1\nCost: %2\nBuild time: %3s","Mancınık İnşa Et\n%1\nBedel: %2\nİnşa süresi: %3sn"
"Build Ballista\n%1\nCost: %2\nBuild time: %3s","Balista İnşa Et\n%1\nBedel: %2\nİnşa süresi: %3sn"
"Build Defense Tower\n%1\nCost: %2\nBuild time: %3s","Savunma Kulesi İnşa Et\n%1\nBedel: %2\nİnşa süresi: %3sn"
"Build Home\n%1\nCost: %2\nBuild time: %3s","Ev İnşa Et\n%1\nBedel: %2\nİnşa süresi: %3sn"
"Build Farm\n%1\nCost: %2\nBuild time: %3s","Tarla İnşa Et\n%1\nBedel: %2\nİnşa süresi: %3sn"
"Grows grain in cycles\nBuilders reap it for the food that recruits civilians","Dönemler hâlinde tahıl yetiştirir\nİnşaatçılar sivil devşiren yiyecek için onu biçer"
"Build Wall Segment\n%1\nCost: %2\nBuild time: %3s","Sur Parçası İnşa Et\n%1\nBedel: %2\nİnşa süresi: %3sn"
"Build Wall Gate\n%1\nCost: %2\nBuild time: %3s","Sur Kapısı İnşa Et\n%1\nBedel: %2\nİnşa süresi: %3sn"
"Build Marketplace\n%1\nCost: %2\nBuild time: %3s","Pazar İnşa Et\n%1\nBedel: %2\nİnşa süresi: %3sn"
"Temple","Tapınak"
"Build Temple\n%1\nCost: %2\nBuild time: %3s","Tapınak İnşa Et\n%1\nBedel: %2\nİnşa süresi: %3sn"
"Sanctuary of the nation\nWide vision and a durable settlement anchor","Ulusun kutsal yeri\nGeniş görüş ve dayanıklı bir yerleşim çapası"
"MARKETPLACE","PAZAR"
"Trade resources for gold at fixed exchange rates","Sabit kurlarla altın karşılığı kaynak ticareti yap"
"Select your marketplace to trade","Ticaret yapmak için pazarını seç"
"Gold: %1    Trade size: %2","Altın: %1    Ticaret büyüklüğü: %2"
"Trading is available only for your own marketplace.","Ticaret yalnızca kendi pazarında yapılabilir."
"You have %1","Elinde %1 var"
"Buy %1 (%2g)","%1 al (%2a)"
"Spend %1 gold to buy %2 %3","%2 %3 almak için %1 altın harca"
"Sell %1 (+%2g)","%1 sat (+%2a)"
"Sell %1 %2 for %3 gold","%1 %2 karşılığında %3 altın al"
"TEMPLE","TAPINAK"
"The sanctuary of your nation, raised in its own architectural style","Ulusunun kendi mimari üslubunda yükseltilmiş kutsal yeri"
"Watches over a wide stretch of ground and holds a settlement together","Geniş bir araziyi gözetler ve yerleşimi bir arada tutar"
"TAKE VOWS","YEMİN ETTİR"
"Temple reserve: %1 / %2","Tapınak yedeği: %1 / %2"
"Deliver civilians here to raise the temple's reserve","Tapınağın yedeğini artırmak için buraya sivil teslim et"
"FARM","TARLA"
"Grain ripens every %1s and a builder reaps %2 food from it","Tahıl her %1sn'de bir olgunlaşır ve bir inşaatçı ondan %2 yiyecek biçer"
"Ripe","Olgun"
"%1% grown · %2s","%%1 büyüdü · %2sn"
"Select your farm to see its crop.","Ekinini görmek için tarlanı seç."
"A builder is on its way to harvest.","Bir inşaatçı hasat için yolda."
"Send a builder with Collect, or leave Auto Gather running.","Topla ile bir inşaatçı yolla ya da Otomatik Topla'yı açık bırak."
"Harvested %1 times so far.","Şimdiye dek %1 kez hasat edildi."
"No Barracks","Kışla Yok"
"Select a barracks to recruit units","Birim devşirmek için bir kışla seç"
"food","yiyecek"
"wood","odun"
"stone","taş"
"iron","demir"
"Select your marketplace to trade.","Ticaret yapmak için pazarını seç."
"The marketplace does not trade that.","Pazar bunun ticaretini yapmıyor."
"Not enough gold to buy %1.","%1 almak için yeterli altın yok."
"Not enough %1 to sell.","Satmak için yeterli %1 yok."
"System","Sistem"
"Camera","Kamera"
"Selection","Seçim"
"Orders","Emirler"
"Commander movement","Komutan hareketi"
"Commander combat","Komutan çarpışması"
"Open menu","Menüyü aç"
"Also cancels a placement or rally in progress","Süren bir yerleştirmeyi ya da toplanmayı da iptal eder"
"Switch between army and commander","Ordu ile komutan arasında geç"
"Quick save","Hızlı kaydet"
"Quick load","Hızlı yükle"
"Pause","Duraklat"
"Speed up the battle","Savaşı hızlandır"
"Steps through the speeds shown on the top bar","Üst çubukta gösterilen hızlar arasında ilerletir"
"Slow down the battle","Savaşı yavaşlat"
"Pan camera up","Kamerayı yukarı kaydır"
"Slides the view north over the battlefield. Hold Shift to cover twice the ground per step.","Görüşü savaş alanı üzerinde kuzeye kaydırır. Her adımda iki kat yol almak için Shift'i basılı tut."
"Pan camera down","Kamerayı aşağı kaydır"
"Slides the view south. Hold Shift to move faster.","Görüşü güneye kaydırır. Daha hızlı gitmek için Shift'i basılı tut."
"Pan camera left","Kamerayı sola kaydır"
"Slides the view west. Hold Shift to move faster.","Görüşü batıya kaydırır. Daha hızlı gitmek için Shift'i basılı tut."
"Pan camera right","Kamerayı sağa kaydır"
"Slides the view east. Hold Shift to move faster.","Görüşü doğuya kaydırır. Daha hızlı gitmek için Shift'i basılı tut."
"Rotate camera left","Kamerayı sola döndür"
"Swings the view anticlockwise around the point you are looking at. Hold Shift to swing further.","Görüşü baktığın noktanın çevresinde saat yönünün tersine çevirir. Daha çok çevirmek için Shift'i basılı tut."
"Rotate camera right","Kamerayı sağa döndür"
"Swings the view clockwise around the point you are looking at. Hold Shift to swing further.","Görüşü baktığın noktanın çevresinde saat yönünde çevirir. Daha çok çevirmek için Shift'i basılı tut."
"Tilt camera up","Kamerayı yukarı eğ"
"Raises the camera towards an overhead view. Hold Shift to tilt further.","Kamerayı tepeden görünüme yükseltir. Daha çok eğmek için Shift'i basılı tut."
"Tilt camera down","Kamerayı aşağı eğ"
"Lowers the camera towards the horizon. Hold Shift to tilt further.","Kamerayı ufka doğru alçaltır. Daha çok eğmek için Shift'i basılı tut."
"Zoom in","Yakınlaştır"
"Moves the camera closer. The mouse wheel does the same.","Kamerayı yaklaştırır. Fare tekerleği de aynı işi görür."
"Zoom out","Uzaklaştır"
"Pulls the camera back. The mouse wheel does the same.","Kamerayı geri çeker. Fare tekerleği de aynı işi görür."
"Reset camera","Kamerayı sıfırla"
"Returns to your own camp at the framing the mission opened with. The top bar has the same button.","Görevin açıldığı çerçeveyle kendi kampına döner. Üst çubukta da aynı düğme var."
"Select unit or drag a selection box","Birim seç ya da bir seçim kutusu sürükle"
"Select all troops","Bütün birlikleri seç"
"Move or attack-move to the cursor","İmlece hareket et ya da saldırarak ilerle"
"Stop","Dur"
"Attack","Saldır"
"Move","Hareket"
"Patrol","Devriye"
"Guard","Nöbet"
"Hold position","Mevziyi tut"
"Deploy the selection in a formation","Seçimi bir düzende yerleştir"
"Opens the formation planner for the selected troops","Seçili birlikler için düzen planlayıcısını açar"
"Place commander rally flag","Komutan toplanma sancağını yerleştir"
"Takes priority over anything else on its key while a rally can be placed","Bir toplanma yerleştirilebilirken kendi tuşundaki her şeyin önüne geçer"
"Rotate structure outline left","Yapı taslağını sola döndür"
"Turns the structure or wall you are placing anticlockwise. The mouse wheel does the same.","Yerleştirdiğin yapıyı ya da suru saat yönünün tersine çevirir. Fare tekerleği de aynı işi görür."
"Rotate structure outline right","Yapı taslağını sağa döndür"
"Turns the structure or wall you are placing clockwise. The mouse wheel does the same.","Yerleştirdiğin yapıyı ya da suru saat yönünde çevirir. Fare tekerleği de aynı işi görür."
"Move forward","İleri git"
"Move back","Geri git"
"Strafe left","Sola yanlamasına git"
"Strafe right","Sağa yanlamasına git"
"Turn left","Sola dön"
"Turn right","Sağa dön"
"Sprint","Koş"
"Dodge","Sıyrıl"
"Jump","Sıçra"
"Heavy attack","Ağır saldırı"
"Branches or finishes the current commander combo","Şimdiki komutan kombosunu dallandırır ya da bitirir"
"Block","Siper al"
"Cycle locked target","Kilitli hedefi değiştir"
"Weapon special","Silah özel"
"Use while guarding to shield bash","Kalkan vuruşu için siper alırken kullan"
"Vanguard rush","Öncü hamlesi"
"Second wind","İkinci nefes"
"Commanding aura","Komuta aurası"
"Rally nearby troops","Yakındaki birlikleri topla"
"Switch between melee weapon and bow","Yakın dövüş silahı ile yay arasında geç"
"Toggle first and third person","Birinci ve üçüncü şahıs arasında geç"
"No ground under the cursor","İmlecin altında zemin yok"
"Cannot reach","Ulaşılamıyor"
"Hauling a load - cannot be interrupted","Yük taşıyor - bölünemez"
"No match is running","Süren bir maç yok"
"Spectating","İzleniyor"
"Nothing selected","Hiçbir şey seçilmedi"
"No target under the cursor","İmlecin altında hedef yok"
"Save: the match advanced while it was being captured. Please try again.","Kaydetme: maç yakalanırken ilerledi. Lütfen tekrar deneyin."
"Recruit %1","%1 devşir"
"Show unit details","Birim ayrıntılarını göster"
"Gold","Altın"
"Food","Yiyecek"
"Timber","Kereste"
"Stone","Taş"
"Iron","Demir"
"%1 %2/%3","%1 %2/%3"
"GUARD BROKEN","SİPER KIRILDI"
"PUNISH","KUSURSUZ"
"FINISHER","BİTİRİCİ"
"HP %1/%2","CAN %1/%2"
"TARGET","HEDEF"
"%1%","%%1"
"STAGGERED","SERSEMLEDİ"
"BOW  ·  X","YAY  ·  X"
"BLADE  ·  X","KILIÇ  ·  X"
"SPECIAL","ÖZEL"
"RUSH","HAMLE"
"WIND","NEFES"
"READY","HAZIR"
"Save payload has no checksum","Kayıt verisinde sağlama toplamı yok"
"Save payload is corrupted (stored checksum mismatch)","Kayıt verisi bozuk (saklanan sağlama toplamı uyuşmuyor)"
"Save payload is corrupted (decompression failed)","Kayıt verisi bozuk (açma başarısız)"
"Save payload is corrupted (expected %1 bytes, got %2)","Kayıt verisi bozuk (%1 bayt bekleniyordu, %2 alındı)"
"Save payload is corrupted (content checksum mismatch)","Kayıt verisi bozuk (içerik sağlama toplamı uyuşmuyor)"
"Not a Standard of Iron save file","Bu bir Standard of Iron kayıt dosyası değil"
"Unsupported save file version %1 (expected %2)","Desteklenmeyen kayıt dosyası sürümü %1 (%2 bekleniyordu)"
"Save file header is truncated","Kayıt dosyası başlığı eksik"
"Save file header is corrupted: %1","Kayıt dosyası başlığı bozuk: %1"
"Save file uses an unknown compression format","Kayıt dosyası bilinmeyen bir sıkıştırma biçimi kullanıyor"
"Save file declares implausible sizes","Kayıt dosyası akla yatkın olmayan boyutlar bildiriyor"
"Save file body is truncated","Kayıt dosyası gövdesi eksik"
"Save file preview image is corrupted","Kayıt dosyası önizleme görüntüsü bozuk"
"Save game","Oyunu kaydet"
"Cancel","İptal"
"Save Name:","Kayıt Adı:"
"Enter save name...","Kayıt adını gir..."
"Save","Kaydet"
"Name the save first.","Önce kayda bir ad ver."
"Existing Saves","Var Olan Kayıtlar"
"Untitled Save","Adsız Kayıt"
"Unknown Map","Bilinmeyen Harita"
"No Preview","Önizleme Yok"
"Slot: %1","Yuva: %1"
"%1 - %2 (%3 KB on disk)","%1 - %2 (diskte %3 KB)"
"Campaign","Sefer"
"Skirmish","Çatışma"
"Last saved: %1","Son kayıt: %1"
"Overwrite","Üzerine yaz"
"Confirm Overwrite","Üzerine Yazmayı Onayla"
"Are you sure you want to overwrite the save:\n""%1""?","Şu kaydın üzerine yazmak istediğine emin misin:\n""%1""?"
"Save failed","Kaydetme başarısız"
"Saving ""%1""","""%1"" kaydediliyor"
"Cancel","İptal"
"Cannot export a save with an empty name","Adı boş bir kayıt dışa aktarılamaz"
"Failed to begin transaction","İşlem başlatılamadı"
"Failed to commit transaction","İşlem tamamlanamadı"
"Failed to open save database","Kayıt veritabanı açılamadı"
"Failed to read schema version","Şema sürümü okunamadı"
"Failed to record schema version","Şema sürümü kaydedilemedi"
"Failed to drop table %1","%1 tablosu silinemedi"
"Failed to create save schema","Kayıt şeması oluşturulamadı"
"Failed to prepare save query","Kayıt sorgusu hazırlanamadı"
"Failed to persist save slot","Kayıt yuvası saklanamadı"
"Failed to read save slot","Kayıt yuvası okunamadı"
"Save slot '%1' not found","'%1' kayıt yuvası bulunamadı"
"Save slot '%1' uses unsupported format version %2","'%1' kayıt yuvası desteklenmeyen %2 biçim sürümünü kullanıyor"
"Save slot '%1' uses an unknown compression format","'%1' kayıt yuvası bilinmeyen bir sıkıştırma biçimi kullanıyor"
"Failed to enumerate save slots","Kayıt yuvaları listelenemedi"
"Failed to look up save slot","Kayıt yuvası aranamadı"
"Failed to store save preview","Kayıt önizlemesi saklanamadı"
"Failed to delete save slot","Kayıt yuvası silinemedi"
"Failed to get campaign progress","Sefer ilerlemesi alınamadı"
"Failed to mark campaign as completed","Sefer tamamlandı olarak işaretlenemedi"
"Failed to prepare mission result insert","Görev sonucu ekleme sorgusu hazırlanamadı"
"Failed to save mission result","Görev sonucu kaydedilemedi"
"Failed to get mission progress","Görev ilerlemesi alınamadı"
"Failed to get campaign mission progress","Sefer görevi ilerlemesi alınamadı"
"Failed to register campaign mission","Sefer görevi kaydedilemedi"
"Failed to prune removed campaign missions","Kaldırılmış sefer görevleri temizlenemedi"
"Failed to look up the completed mission","Tamamlanan görev bulunamadı"
"Mission %1 is not part of campaign %2","%1 görevi %2 seferinin parçası değil"
"Failed to mark mission as completed","Görev tamamlandı olarak işaretlenemedi"
"Failed to find the next mission","Sonraki görev bulunamadı"
"Failed to unlock next mission","Sonraki görevin kilidi açılamadı"
"Failed to count remaining missions","Kalan görevler sayılamadı"
"Protanopia (red-blind)","Protanopi (kırmızı körlüğü)"
"Deuteranopia (green-blind)","Döteranopi (yeşil körlüğü)"
"Tritanopia (blue-blind)","Tritanopi (mavi körlüğü)"
"Standard","Standart"
"Camera legend","Kamera açıklaması"
"Economy prompts","Ekonomi ipuçları"
"Formation readout","Düzen göstergesi"
"Lists the camera controls the first time a mission starts","Bir görev ilk kez başladığında kamera denetimlerini sıralar"
"Walks through the opening economy steps of a mission","Bir görevin açılış ekonomi adımlarını adım adım anlatır"
"Shows cohesion and phase after you send several units somewhere together, until the selection changes","Birkaç birimi birlikte bir yere yolladıktan sonra, seçim değişene kadar bütünlüğü ve evreyi gösterir"
"Off","Kapalı"
"Important only","Yalnızca önemliler"
"All hits","Bütün vuruşlar"
"Borderless","Kenarlıksız"
"Windowed","Pencereli"
"Fullscreen","Tam ekran"
"Settings","Ayarlar"
"Close","Kapat"
"Audio Settings","Ses Ayarları"
"Master Volume:","Ana Ses:"
"Music Volume:","Müzik Sesi:"
"SFX Volume:","Efekt Sesi:"
"Voice Volume:","Konuşma Sesi:"
"Ambience Volume:","Ortam Sesi:"
"Display Settings","Görüntü Ayarları"
"Window Mode:","Pencere Kipi:"
"VSync","VSync"
"Synchronises frames with your display to remove tearing. Toggling it takes effect the next time the game starts.","Yırtılmayı gidermek için kareleri ekranınla eşitler. Değiştirmek, oyun bir sonraki başlayışında etkili olur."
"Show FPS counter","FPS sayacını göster"
"Displays a small frame-rate readout during battle","Savaş sırasında küçük bir kare hızı göstergesi gösterir"
"Graphics Settings","Grafik Ayarları"
"Graphics Quality:","Grafik Kalitesi:"
"Controls","Denetimler"
"Edge scrolling","Kenardan kaydırma"
"Pans the camera when the cursor reaches the edge of the screen. Keyboard panning, right-drag and the minimap keep working either way.","İmleç ekranın kenarına vardığında kamerayı kaydırır. Klavyeyle kaydırma, sağ tuşla sürükleme ve mini harita her durumda çalışmayı sürdürür."
"Edge scroll strength:","Kenardan kaydırma gücü:"
"Sets both how far in from the edge the band reaches and how fast the camera moves inside it. At this setting the band is %1 px along the sides and %2 px along the top and bottom, measured at your interface scale.","Hem şeridin kenardan ne kadar içeri uzandığını hem de kameranın içinde ne hızda hareket ettiğini belirler. Bu ayarda şerit yanlarda %1 px, üstte ve altta %2 px'tir; arayüz ölçeğine göre ölçülmüştür."
"Camera pan speed:","Kamera kaydırma hızı:"
"Camera zoom speed:","Kamera yakınlaştırma hızı:"
"Camera rotation speed:","Kamera döndürme hızı:"
"Scales keyboard panning, zooming and rotation; drag and minimap movement stay unchanged.","Klavyeyle kaydırmayı, yakınlaştırmayı ve döndürmeyi ölçekler; sürükleme ve mini harita hareketi değişmez."
"Autosave","Otomatik kayıt"
"Autosaves to keep:","Tutulacak otomatik kayıt:"
"Autosave every:","Otomatik kayıt sıklığı:"
"%1 min","%1 dk"
"Older autosaves beyond this count are deleted automatically.","Bu sayının ötesindeki eski otomatik kayıtlar kendiliğinden silinir."
"Accessibility","Erişilebilirlik"
"Interface Scale:","Arayüz Ölçeği:"
"Colour Vision:","Renk Görüşü:"
"Reduce motion","Hareketi azalt"
"Removes transitions and idle animations across every screen","Her ekrandaki geçişleri ve boşta duran canlandırmaları kaldırır"
"High contrast","Yüksek karşıtlık"
"Raises panel and text contrast for low vision","Az gören için panel ve metin karşıtlığını artırır"
"Always show keyboard focus","Klavye odağını her zaman göster"
"Keeps the focus outline visible even after clicking","Tıkladıktan sonra bile odak çerçevesini görünür tutar"
"Team ring patterns","Takım halkası desenleri"
"On automatically while a colour vision mode is selected","Bir renk görüşü kipi seçiliyken kendiliğinden açık olur"
"Marks each side with its own selection ring shape as well as its colour","Her tarafı renginin yanı sıra kendi seçim halkası biçimiyle de işaretler"
"Damage numbers:","Hasar sayıları:"
"Numbers are a readout, not the feedback. Combat stays readable from motion, sound and hit reactions with them off.","Sayılar bir göstergedir, geri bildirim değil. Onlar kapalıyken de çarpışma harekete, sese ve vuruş tepkilerine bakılarak okunabilir."
"Economy numbers","Ekonomi sayıları"
"Floats resource, trade and reserve changes over the building they happened at","Kaynak, ticaret ve yedek değişimlerini gerçekleştikleri yapının üstünde uçurur"
"Prompts and readouts:","İpuçları ve göstergeler:"
"Screen effects:","Ekran etkileri:"
"Camera motion:","Kamera hareketi:"
"Reduces head bob and sway while leading the commander. It never limits camera movement you ask for.","Komutanı yönetirken baş sallanmasını ve savrulmayı azaltır. Senin istediğin kamera hareketini asla sınırlamaz."
"These settings apply to the campaign, skirmish and editor tools alike.","Bu ayarlar sefer, çatışma ve düzenleyici araçlarının hepsinde geçerlidir."
"Language","Dil"
"Select Language:","Dil Seç:"
"Language changes apply immediately","Dil değişiklikleri anında uygulanır"
"About","Hakkında"
"Standard of Iron - RTS game","Standard of Iron - RTS oyunu"
"Version %1","Sürüm %1"
"Third-Party Software","Üçüncü Taraf Yazılımlar"
"This game uses the Qt framework, licensed under the GNU Lesser General Public License v3 (LGPL v3).","Bu oyun, GNU Lesser General Public License v3 (LGPL v3) altında lisanslanan Qt çatısını kullanır."
"Qt is dynamically linked, allowing you to replace Qt libraries with your own versions.","Qt devingen olarak bağlanır, böylece Qt kitaplıklarını kendi sürümlerinle değiştirebilirsin."
"LGPL v3 License","LGPL v3 Lisansı"
"Qt Website","Qt Web Sitesi"
"Music and sound effects generated with ElevenLabs under a licence that permits commercial use.","Müzik ve ses efektleri, ticari kullanıma izin veren bir lisans altında ElevenLabs ile üretildi."
"Voice lines recorded by Adam Djellouli.","Konuşmalar Adam Djellouli tarafından kaydedildi."
"ElevenLabs","ElevenLabs"
"Listening Preset:","Dinleme Profili:"
"Headphones","Kulaklık"
"Speakers","Hoparlör"
"Night","Gece Modu"
"Invalid team configuration: At least two teams must be selected to start a match.","Geçersiz takım ayarı: Bir maç başlatmak için en az iki takım seçilmeli."
"The order was excellent. It was given to nobody.","Emir kusursuzdu. Kimseye verilmedi."
"There is no road to that place. There may never have been one.","O yere giden bir yol yok. Belki hiç olmadı."
"The quartermaster has checked twice. There is nothing behind the second check.","Levazımcı iki kez baktı. İkinci bakışın ardında hiçbir şey yok."
"We have the barracks, the coin and the will. We lack the people.","Kışlamız, paramız ve irademiz var. İnsanımız yok."
"They are carrying something heavier than your orders.","Emirlerinden daha ağır bir şey taşıyorlar."
"Willing, sir. Simply not that willing, and not from here.","İstekliyiz efendim. Yalnızca o kadar değil ve buradan değil."
"Those are not ours to command. They have been very clear about it.","Onlar bizim emrimizde değil. Bunu gayet açık belirttiler."
"Nothing there answers to that order. We checked.","Orada o emre yanıt veren bir şey yok. Baktık."
"Red","Kırmızı"
"Blue","Mavi"
"Brown","Kahverengi"
"Green","Yeşil"
"Yellow","Sarı"
"Orange","Turuncu"
"Purple","Mor"
"Cyan","Camgöbeği"
"Pink","Pembe"
"stone %1 / %2 · iron %3 / %4","taş %1 / %2 · demir %3 / %4"
"Builders cannot fight. This order needs soldiers - select the spearmen, archers or swordsmen near your camp.","İnşaatçılar çarpışamaz. Bu emir asker ister - kampının yakınındaki mızrakçıları, okçuları ya da kılıççıları seç."
"That is a building. Orders in this step need soldiers - left-click one of the troops standing near your camp.","O bir yapı. Bu adımdaki emirler asker ister - kampının yakınında duran birliklerden birine sol tıkla."
"Nothing is selected, so there is nobody to receive the order. Left-click a soldier or drag a box around several.","Hiçbir şey seçili değil, yani emri alacak kimse yok. Bir askere sol tıkla ya da birkaçının çevresine kutu çiz."
"Collect and Build are only available to builders - soldiers and buildings cannot do this work. Select a builder (the worker with the hammer) first.","Topla ve İnşa yalnızca inşaatçılarda kullanılabilir - askerler ve yapılar bu işi yapamaz. Önce bir inşaatçı (çekiçli işçi) seç."
"No builder is selected. Left-click one of the builders standing by your barracks.","Hiçbir inşaatçı seçili değil. Kışlanın yanında duran inşaatçılardan birine sol tıkla."
"That is a building. Left-click one of the soldiers standing near your camp instead.","O bir yapı. Bunun yerine kampının yakınında duran askerlerden birine sol tıkla."
"A Home costs %1 wood and %2 stone; you have %3 wood and %4 stone. The Build card stays grey until the yard holds enough - send a builder to collect the difference.","Bir Ev %1 odun ve %2 taş tutar; sende %3 odun ve %4 taş var. Avlu yetecek kadar tutana dek İnşa kartı gri kalır - farkı toplaması için bir inşaatçı yolla."
"A red outline means the site is blocked: too close to another building, on water or on a slope. Move it onto flat, open ground and left-click to confirm. Right-click cancels.","Kırmızı taslak alanın kapalı olduğunu gösterir: başka bir yapıya fazla yakın, suyun üstünde ya da eğimde. Onu düz ve açık zemine taşı ve onaylamak için sol tıkla. Sağ tık iptal eder."
"Recruits come from the barracks. Left-click your barracks to open its production panel on the right.","Devşirilenler kışladan gelir. Sağdaki üretim panelini açmak için kışlana sol tıkla."
"The barracks has only %1 reserve left to draw on. Every recruit costs reserve; when it runs dry, build Homes - each Home raises families, and a civilian recruited there and sent to the barracks with Deliver refills it.","Kışlanın çekebileceği yalnızca %1 yedek kaldı. Her devşirme yedek harcar; tükendiğinde Ev inşa et - her Ev aile yetiştirir ve orada devşirilip Teslim et ile kışlaya yollanan bir sivil yedeği tazeler."
"A recruit card turns grey when a resource is short: soldiers need wood for shafts and iron for blades. Send a builder to collect more.","Bir kaynak eksildiğinde devşirme kartı grileşir: askerler saplar için odun, ağızlar için demir ister. Daha fazlasını toplaması için bir inşaatçı yolla."
"The raiders are here. Keep your soldiers together near the barracks: spearmen in front, archers behind, and the commander close so his aura reaches them.","Akıncılar burada. Askerlerini kışlanın yakınında bir arada tut: önde mızrakçılar, arkada okçular ve aurası onlara erişsin diye komutan yakında."
"The Roman raid is on its way. The wave tracker under the top bar counts it down and the minimap marks where it will enter.","Roma baskını yolda. Üst çubuğun altındaki dalga takipçisi geri sayar ve mini harita nereden gireceğini işaretler."
"The Aura command only appears when your commander is selected. He is the standard-bearer with the crown badge, near the barracks.","Aura komutu yalnızca komutanın seçiliyken görünür. O, kışlanın yakınındaki taçlı nişanı taşıyan sancaktardır."
"The aura is recharging or the commander is wounded; the button lights up again when it is ready.","Aura yenileniyor ya da komutan yaralı; hazır olduğunda düğme yeniden yanar."
"The Roman commander is still alive. A nation dies with the man who leads it - kill him and the camp falls.","Roma komutanı hâlâ yaşıyor. Bir ulus, kendisini yöneten adamla birlikte ölür - onu öldür, kamp düşer."
"Select your troops","Birliklerini seç"
