"source","translation_ru_RU"
"The selected units cannot take that order.","Выделенные отряды такой приказ не примут."
"No enemy under the cursor.","Под курсором врага нет."
"Select a friendly barracks with room for more people.","Укажите свои казармы, где ещё есть место для людей."
"Select a damaged friendly building to repair.","Укажите повреждённую свою постройку для ремонта."
"Nothing to target there.","Там нечего брать в цель."
"Choose a spot on the map.","Выберите место на карте."
"That barracks has no room for more people.","В этих казармах больше нет места для людей."
"That building does not need repairs.","Эта постройка в ремонте не нуждается."
"Your builders only take down your own buildings.","Ваши строители разбирают только ваши собственные постройки."
"That building cannot be taken down.","Эту постройку разобрать нельзя."
"Continue","Далее"
"CAMPAIGN DECREE","УКАЗ О КАМПАНИИ"
"FIELD ASSESSMENT","ПОЛЕВАЯ ОЦЕНКА"
"BATTLEFIELD VERDICT","ПРИГОВОР ПОЛЯ БОЯ"
"COMMAND REPORT","ДОНЕСЕНИЕ КОМАНДОВАНИЯ"
"Select a map","Выберите карту"
"Players (%1)","Игроки (%1)"
"Click color/team to cycle","Щёлкайте цвет или команду, чтобы перебрать"
"Select a map to configure players","Выберите карту, чтобы настроить игроков"
"+ Add CPU","+ Добавить ИИ"
"Add AI player to the game","Добавить в игру игрока-ИИ"
"Every slot on this map is taken","Все места на этой карте заняты"
"Max players reached","Достигнут предел игроков"
"%1 slot available","Свободных мест: %1"
"%1 slots available","Свободных мест: %1"
"(map preview)","(предпросмотр карты)"
"Player %1","Игрок %1"
"Color","Цвет"
"Click to change color","Щёлкните, чтобы сменить цвет"
"Click to change team","Щёлкните, чтобы сменить команду"
"Remove player","Убрать игрока"
"Select a tree to chop.","Укажите дерево для рубки."
"Select a boulder to collect.","Укажите валун для сбора."
"Select iron ore to collect.","Укажите железную руду для сбора."
"No available builder can chop that tree.","Ни один свободный строитель это дерево срубить не может."
"No available builder can collect that boulder.","Ни один свободный строитель этот валун собрать не может."
"No available builder can collect that iron ore.","Ни один свободный строитель эту железную руду собрать не может."
"No available builder can collect that resource.","Ни один свободный строитель этот ресурс собрать не может."
"No walkable spot near that tree.","У этого дерева нет проходимого места."
"No walkable spot near that boulder.","У этого валуна нет проходимого места."
"No walkable spot near that iron ore.","У этой железной руды нет проходимого места."
"No walkable spot near that resource.","У этого ресурса нет проходимого места."
"Select a tree, boulder, ore deposit, ripe farm or sheep.","Укажите дерево, валун, залежь руды, созревшее поле или овцу."
"Something is already standing here.","Здесь уже что-то стоит."
"This ground cannot be cleared to build on.","Эту землю под стройку не расчистить."
"Nothing can be built on the water.","На воде строить нельзя."
"The ground here is too steep to build on.","Земля здесь слишком крута для стройки."
"That is beyond the edge of the battlefield.","Это за краем поля боя."
"That structure cannot be placed.","Эту постройку сюда не поставить."
"Building factory unavailable.","Фабрика построек недоступна."
"A wall already stands here.","Здесь уже стоит стена."
"No part of this wall can stand there.","Ни одна часть этой стены там встать не может."
"Drag out a wall line first.","Сначала протяните линию стены."
"Choose a build location.","Выберите место стройки."
"That resource is already assigned.","Этот ресурс уже занят."
"Nothing here is worth harvesting.","Здесь нечего собирать."
"No resource here to work.","Здесь нет ресурса для работы."
"No valid wall segments in that drag.","В этом протягивании нет годных участков стены."
"No available builder.","Свободного строителя нет."
"Mounted Knight","Конный рыцарь"
"Horse Archer","Конный лучник"
"Horse Spearman","Конный копейщик"
"War Elephant","Боевой слон"
"reserve","резерва"
"Recruit %1\nCost: %2\nBuild time: %3s\nCarthage exclusive","Нанять: %1\nЦена: %2\nВремя: %3 с\nТолько для Карфагена"
"Recruit %1\nCost: %2\nBuild time: %3s","Нанять: %1\nЦена: %2\nВремя: %3 с"
"Food","Еда"
"Wood","Древесина"
"Stone","Камень"
"Iron","Железо"
"Catapult","Катапульта"
"Long-range siege weapon\nEffective against structures","Дальнобойная осадная машина\nДейственна против построек"
"Ballista","Баллиста"
"Precision siege weapon\nEffective against units","Точная осадная машина\nДейственна против отрядов"
"Defense Tower","Оборонительная башня"
"Stationary defense structure\nShoots arrows at enemies","Неподвижная оборонительная постройка\nСтреляет по врагам из лука"
"Home","Дом"
"Residential building\nAdds +50 reserve to the nearest barracks","Жилая постройка\nДобавляет +50 резерва ближайшим казармам"
"Marketplace","Рынок"
"Trade building\nBuy or sell resources for gold","Торговая постройка\nПокупайте и продавайте ресурсы за золото"
"Wall Segment","Участок стены"
"Wooden defensive wall\nBlocks enemy movement","Деревянная оборонительная стена\nПерекрывает движение врага"
"Wall Gate","Ворота в стене"
"Gated opening in a wall\nOpens for your troops and allies","Проём с воротами в стене\nОткрывается вашим отрядам и союзникам"
"Need %1","Не хватает: %1"
"%1 %2","%1 %2"
"Cannot recruit","Нанять нельзя"
"Queue is full (5/5)","Очередь заполнена (5/5)"
"Not enough reserve","Не хватает резерва"
"Already building...","Уже строит..."
"QUEUE","ОЧЕРЕДЬ"
"Barracks reserve: %1 / %2","Резерв казарм: %1 / %2"
"%1s","%1 с"
"Idle","Простой"
"RECRUIT UNITS","НАБОР ВОЙСК"
"HOME RECRUITMENT","НАБОР В ДОМЕ"
"Available civilians: %1 / %2","Доступно гражданских: %1 / %2"
"Recruit %1\nCost: %2\nBuild time: %3s\nUse Deliver mode, then click a friendly barracks to add to its reserve.","Нанять: %1\nЦена: %2\nВремя: %3 с\nВключите режим «Доставить», затем щёлкните свои казармы, чтобы пополнить их резерв."
"families","семьи"
"This home already committed its 3 civilians","Этот дом уже отдал своих 3 гражданских"
"Click Map to Set Rally","Щёлкните карту, чтобы задать сбор"
"Set Rally Point","Задать точку сбора"
"Set where newly recruited units will gather.\nRight-click to cancel.","Укажите, где будут собираться новобранцы.\nПравая кнопка отменяет."
"Select a barracks or temple before setting a rally point.","Выделите казармы или храм, прежде чем задавать точку сбора."
"Right-click to cancel","Правая кнопка отменяет"
"BUILDER CONSTRUCTION","СТРОИТЕЛЬСТВО"
"Build siege weapons, structures, and gather wood, stone, iron, and food","Стройте осадные машины и постройки, собирайте древесину, камень, железо и еду"
"Select a structure to build","Выберите постройку для возведения"
"Cut Tree","Срубить дерево"
"Collect Stone","Собрать камень"
"Collect Iron Ore","Собрать железную руду"
"Harvest Grain","Сжать зерно"
"Slaughter Sheep","Забить овцу"
"Farm","Ферма"
"Task: %1","Работа: %1"
"Building: %1","Строит: %1"
"Build Catapult\n%1\nCost: %2\nBuild time: %3s","Построить катапульту\n%1\nЦена: %2\nВремя: %3 с"
"Build Ballista\n%1\nCost: %2\nBuild time: %3s","Построить баллисту\n%1\nЦена: %2\nВремя: %3 с"
"Build Defense Tower\n%1\nCost: %2\nBuild time: %3s","Построить оборонительную башню\n%1\nЦена: %2\nВремя: %3 с"
"Build Home\n%1\nCost: %2\nBuild time: %3s","Построить дом\n%1\nЦена: %2\nВремя: %3 с"
"Build Farm\n%1\nCost: %2\nBuild time: %3s","Построить ферму\n%1\nЦена: %2\nВремя: %3 с"
"Grows grain in cycles\nBuilders reap it for the food that recruits civilians","Растит зерно циклами\nСтроители жнут его на еду, за которую нанимают гражданских"
"Build Wall Segment\n%1\nCost: %2\nBuild time: %3s","Построить участок стены\n%1\nЦена: %2\nВремя: %3 с"
"Build Wall Gate\n%1\nCost: %2\nBuild time: %3s","Построить ворота в стене\n%1\nЦена: %2\nВремя: %3 с"
"Build Marketplace\n%1\nCost: %2\nBuild time: %3s","Построить рынок\n%1\nЦена: %2\nВремя: %3 с"
"Temple","Храм"
"Build Temple\n%1\nCost: %2\nBuild time: %3s","Построить храм\n%1\nЦена: %2\nВремя: %3 с"
"Sanctuary of the nation\nWide vision and a durable settlement anchor","Святыня народа\nШирокий обзор и прочная опора поселения"
"MARKETPLACE","РЫНОК"
"Trade resources for gold at fixed exchange rates","Меняйте ресурсы на золото по твёрдому курсу"
"Select your marketplace to trade","Выделите свой рынок, чтобы торговать"
"Gold: %1    Trade size: %2","Золото: %1    Размер сделки: %2"
"Trading is available only for your own marketplace.","Торговать можно только на своём рынке."
"You have %1","У вас %1"
"Buy %1 (%2g)","Купить %1 (%2 зол.)"
"Spend %1 gold to buy %2 %3","Потратьте %1 золота, чтобы купить %2 %3"
"Sell %1 (+%2g)","Продать %1 (+%2 зол.)"
"Sell %1 %2 for %3 gold","Продайте %1 %2 за %3 золота"
"TEMPLE","ХРАМ"
"The sanctuary of your nation, raised in its own architectural style","Святыня вашего народа, возведённая в его собственном стиле"
"Watches over a wide stretch of ground and holds a settlement together","Смотрит за широкой полосой земли и скрепляет поселение"
"TAKE VOWS","ПРИНЯТЬ ОБЕТ"
"Temple reserve: %1 / %2","Резерв храма: %1 / %2"
"Deliver civilians here to raise the temple's reserve","Доставляйте сюда гражданских, чтобы поднять резерв храма"
"FARM","ФЕРМА"
"Grain ripens every %1s and a builder reaps %2 food from it","Зерно созревает каждые %1 с, и строитель снимает с него %2 еды"
"Ripe","Созрело"
"%1% grown · %2s","рост %1% · %2 с"
"Select your farm to see its crop.","Выделите свою ферму, чтобы увидеть её урожай."
"A builder is on its way to harvest.","Строитель уже идёт на жатву."
"Send a builder with Collect, or leave Auto Gather running.","Отправьте строителя приказом «Собрать» либо оставьте автосбор включённым."
"Harvested %1 times so far.","Собрано урожаев: %1."
"No Barracks","Казарм нет"
"Select a barracks to recruit units","Выделите казармы, чтобы нанимать отряды"
"food","еды"
"wood","древесины"
"stone","камня"
"iron","железа"
"Select your marketplace to trade.","Выделите свой рынок, чтобы торговать."
"The marketplace does not trade that.","Рынок этим не торгует."
"Not enough gold to buy %1.","Не хватает золота, чтобы купить %1."
"Not enough %1 to sell.","Не хватает %1 на продажу."
"System","Система"
"Camera","Камера"
"Selection","Выделение"
"Orders","Приказы"
"Commander movement","Движение полководца"
"Commander combat","Бой полководца"
"Open menu","Открыть меню"
"Also cancels a placement or rally in progress","Отменяет и начатую постановку постройки или сбор"
"Switch between army and commander","Переключение между армией и полководцем"
"Quick save","Быстрое сохранение"
"Quick load","Быстрая загрузка"
"Pause","Пауза"
"Speed up the battle","Ускорить бой"
"Steps through the speeds shown on the top bar","Перебирает темпы, показанные на верхней панели"
"Slow down the battle","Замедлить бой"
"Pan camera up","Сдвинуть камеру вверх"
"Slides the view north over the battlefield. Hold Shift to cover twice the ground per step.","Сдвигает вид на север над полем боя. Удерживайте Shift, чтобы за шаг проходить вдвое больше."
"Pan camera down","Сдвинуть камеру вниз"
"Slides the view south. Hold Shift to move faster.","Сдвигает вид на юг. Удерживайте Shift, чтобы двигаться быстрее."
"Pan camera left","Сдвинуть камеру влево"
"Slides the view west. Hold Shift to move faster.","Сдвигает вид на запад. Удерживайте Shift, чтобы двигаться быстрее."
"Pan camera right","Сдвинуть камеру вправо"
"Slides the view east. Hold Shift to move faster.","Сдвигает вид на восток. Удерживайте Shift, чтобы двигаться быстрее."
"Rotate camera left","Повернуть камеру влево"
"Swings the view anticlockwise around the point you are looking at. Hold Shift to swing further.","Вращает вид против часовой стрелки вокруг точки, на которую вы смотрите. Удерживайте Shift, чтобы повернуть дальше."
"Rotate camera right","Повернуть камеру вправо"
"Swings the view clockwise around the point you are looking at. Hold Shift to swing further.","Вращает вид по часовой стрелке вокруг точки, на которую вы смотрите. Удерживайте Shift, чтобы повернуть дальше."
"Tilt camera up","Наклонить камеру вверх"
"Raises the camera towards an overhead view. Hold Shift to tilt further.","Поднимает камеру к виду сверху. Удерживайте Shift, чтобы наклонить дальше."
"Tilt camera down","Наклонить камеру вниз"
"Lowers the camera towards the horizon. Hold Shift to tilt further.","Опускает камеру к горизонту. Удерживайте Shift, чтобы наклонить дальше."
"Zoom in","Приблизить"
"Moves the camera closer. The mouse wheel does the same.","Придвигает камеру ближе. Колесо мыши делает то же самое."
"Zoom out","Отдалить"
"Pulls the camera back. The mouse wheel does the same.","Отводит камеру назад. Колесо мыши делает то же самое."
"Reset camera","Сбросить камеру"
"Returns to your own camp at the framing the mission opened with. The top bar has the same button.","Возвращает к вашему лагерю в том кадре, с которого началось задание. Та же кнопка есть на верхней панели."
"Select unit or drag a selection box","Выделить отряд или обвести рамкой"
"Select all troops","Выделить все отряды"
"Move or attack-move to the cursor","Идти или атаковать на ходу к курсору"
"Stop","Стоп"
"Attack","Атака"
"Move","Идти"
"Patrol","Патруль"
"Guard","Охрана"
"Hold position","Удерживать позицию"
"Deploy the selection in a formation","Выставить выделенных в строй"
"Opens the formation planner for the selected troops","Открывает планировщик строя для выделенных отрядов"
"Place commander rally flag","Поставить знамя сбора полководца"
"Takes priority over anything else on its key while a rally can be placed","Имеет преимущество над всем прочим на этой клавише, пока сбор можно поставить"
"Rotate structure outline left","Повернуть контур постройки влево"
"Turns the structure or wall you are placing anticlockwise. The mouse wheel does the same.","Поворачивает ставимую постройку или стену против часовой стрелки. Колесо мыши делает то же самое."
"Rotate structure outline right","Повернуть контур постройки вправо"
"Turns the structure or wall you are placing clockwise. The mouse wheel does the same.","Поворачивает ставимую постройку или стену по часовой стрелке. Колесо мыши делает то же самое."
"Move forward","Вперёд"
"Move back","Назад"
"Strafe left","Шаг влево"
"Strafe right","Шаг вправо"
"Turn left","Повернуть влево"
"Turn right","Повернуть вправо"
"Sprint","Рывок"
"Dodge","Уклон"
"Jump","Прыжок"
"Heavy attack","Тяжёлый удар"
"Branches or finishes the current commander combo","Ветвит или завершает текущую связку полководца"
"Block","Блок"
"Cycle locked target","Сменить захваченную цель"
"Weapon special","Приём оружием"
"Use while guarding to shield bash","Примените в защите, чтобы ударить щитом"
"Vanguard rush","Рывок авангарда"
"Second wind","Второе дыхание"
"Commanding aura","Аура командования"
"Rally nearby troops","Собрать отряды рядом"
"Switch between melee weapon and bow","Переключить оружие ближнего боя и лук"
"Toggle first and third person","Переключить вид от первого и третьего лица"
"No ground under the cursor","Под курсором нет земли"
"Cannot reach","Не добраться"
"Hauling a load - cannot be interrupted","Везёт груз — прервать нельзя"
"No match is running","Матч не идёт"
"Spectating","Наблюдение"
"Nothing selected","Ничего не выделено"
"No target under the cursor","Под курсором нет цели"
"Save: the match advanced while it was being captured. Please try again.","Сохранение: матч продвинулся во время записи состояния. Попробуйте снова."
"Recruit %1","Нанять: %1"
"Show unit details","Показать подробности об отряде"
"Gold","Золото"
"Food","Еда"
"Timber","Древесина"
"Stone","Камень"
"Iron","Железо"
"%1 %2/%3","%1 %2/%3"
"GUARD BROKEN","ЗАЩИТА СЛОМАНА"
"PUNISH","РАСПЛАТА"
"FINISHER","ДОБИВАНИЕ"
"HP %1/%2","ХП %1/%2"
"TARGET","ЦЕЛЬ"
"%1%","%1%"
"STAGGERED","ОГЛУШЁН"
"BOW  ·  X","ЛУК  ·  X"
"BLADE  ·  X","КЛИНОК  ·  X"
"SPECIAL","ПРИЁМ"
"RUSH","РЫВОК"
"WIND","ДЫХАНИЕ"
"READY","ГОТОВО"
"Save payload has no checksum","У содержимого сохранения нет контрольной суммы"
"Save payload is corrupted (stored checksum mismatch)","Содержимое сохранения повреждено (записанная контрольная сумма не сходится)"
"Save payload is corrupted (decompression failed)","Содержимое сохранения повреждено (распаковка не удалась)"
"Save payload is corrupted (expected %1 bytes, got %2)","Содержимое сохранения повреждено (ожидалось %1 байт, получено %2)"
"Save payload is corrupted (content checksum mismatch)","Содержимое сохранения повреждено (контрольная сумма содержимого не сходится)"
"Not a Standard of Iron save file","Это не файл сохранения Standard of Iron"
"Unsupported save file version %1 (expected %2)","Неподдерживаемая версия файла сохранения %1 (ожидалась %2)"
"Save file header is truncated","Заголовок файла сохранения обрезан"
"Save file header is corrupted: %1","Заголовок файла сохранения повреждён: %1"
"Save file uses an unknown compression format","Файл сохранения использует неизвестный формат сжатия"
"Save file declares implausible sizes","Файл сохранения объявляет неправдоподобные размеры"
"Save file body is truncated","Тело файла сохранения обрезано"
"Save file preview image is corrupted","Картинка предпросмотра в файле сохранения повреждена"
"Save game","Сохранить игру"
"Cancel","Отмена"
"Save Name:","Имя сохранения:"
"Enter save name...","Введите имя сохранения..."
"Save","Сохранить"
"Name the save first.","Сначала дайте сохранению имя."
"Existing Saves","Существующие сохранения"
"Untitled Save","Сохранение без имени"
"Unknown Map","Неизвестная карта"
"No Preview","Нет предпросмотра"
"Slot: %1","Слот: %1"
"%1 - %2 (%3 KB on disk)","%1 — %2 (%3 КБ на диске)"
"Campaign","Кампания"
"Skirmish","Стычка"
"Last saved: %1","Последнее сохранение: %1"
"Overwrite","Перезаписать"
"Confirm Overwrite","Подтвердите перезапись"
"Are you sure you want to overwrite the save:\n""%1""?","Точно перезаписать сохранение:\n«%1»?"
"Save failed","Сохранить не удалось"
"Saving ""%1""","Сохранение «%1»"
"Cancel","Отмена"
"Cannot export a save with an empty name","Нельзя экспортировать сохранение с пустым именем"
"Failed to begin transaction","Не удалось начать транзакцию"
"Failed to commit transaction","Не удалось зафиксировать транзакцию"
"Failed to open save database","Не удалось открыть базу сохранений"
"Failed to read schema version","Не удалось прочитать версию схемы"
"Failed to record schema version","Не удалось записать версию схемы"
"Failed to drop table %1","Не удалось удалить таблицу %1"
"Failed to create save schema","Не удалось создать схему сохранений"
"Failed to prepare save query","Не удалось подготовить запрос сохранения"
"Failed to persist save slot","Не удалось сохранить слот"
"Failed to read save slot","Не удалось прочитать слот сохранения"
"Save slot '%1' not found","Слот сохранения «%1» не найден"
"Save slot '%1' uses unsupported format version %2","Слот сохранения «%1» использует неподдерживаемую версию формата %2"
"Save slot '%1' uses an unknown compression format","Слот сохранения «%1» использует неизвестный формат сжатия"
"Failed to enumerate save slots","Не удалось перечислить слоты сохранений"
"Failed to look up save slot","Не удалось найти слот сохранения"
"Failed to store save preview","Не удалось сохранить предпросмотр"
"Failed to delete save slot","Не удалось удалить слот сохранения"
"Failed to get campaign progress","Не удалось получить ход кампании"
"Failed to mark campaign as completed","Не удалось отметить кампанию как пройденную"
"Failed to prepare mission result insert","Не удалось подготовить вставку результата задания"
"Failed to save mission result","Не удалось сохранить результат задания"
"Failed to get mission progress","Не удалось получить ход задания"
"Failed to get campaign mission progress","Не удалось получить ход заданий кампании"
"Failed to register campaign mission","Не удалось зарегистрировать задание кампании"
"Failed to prune removed campaign missions","Не удалось вычистить удалённые задания кампании"
"Failed to look up the completed mission","Не удалось найти пройденное задание"
"Mission %1 is not part of campaign %2","Задание %1 не входит в кампанию %2"
"Failed to mark mission as completed","Не удалось отметить задание как пройденное"
"Failed to find the next mission","Не удалось найти следующее задание"
"Failed to unlock next mission","Не удалось открыть следующее задание"
"Failed to count remaining missions","Не удалось сосчитать оставшиеся задания"
"Protanopia (red-blind)","Протанопия (нечувствительность к красному)"
"Deuteranopia (green-blind)","Дейтеранопия (нечувствительность к зелёному)"
"Tritanopia (blue-blind)","Тританопия (нечувствительность к синему)"
"Standard","Обычный"
"Camera legend","Подсказки камеры"
"Economy prompts","Подсказки по хозяйству"
"Formation readout","Сводка строя"
"Lists the camera controls the first time a mission starts","Перечисляет управление камерой при первом запуске задания"
"Walks through the opening economy steps of a mission","Проводит по первым хозяйственным шагам задания"
"Shows cohesion and phase after you send several units somewhere together, until the selection changes","Показывает слаженность и фазу после того, как вы отправите несколько отрядов вместе, пока не сменится выделение"
"Off","Выключено"
"Important only","Только важное"
"All hits","Все попадания"
"Borderless","Без рамки"
"Windowed","В окне"
"Fullscreen","Полный экран"
"Settings","Настройки"
"Close","Закрыть"
"Audio Settings","Настройки звука"
"Master Volume:","Общая громкость:"
"Music Volume:","Громкость музыки:"
"SFX Volume:","Громкость эффектов:"
"Voice Volume:","Громкость голосов:"
"Ambience Volume:","Громкость окружения:"
"Display Settings","Настройки экрана"
"Window Mode:","Режим окна:"
"VSync","Вертикальная синхронизация"
"Synchronises frames with your display to remove tearing. Toggling it takes effect the next time the game starts.","Согласует кадры с вашим экраном, чтобы убрать разрывы. Переключение вступает в силу при следующем запуске игры."
"Show FPS counter","Показывать счётчик кадров"
"Displays a small frame-rate readout during battle","Показывает небольшую сводку частоты кадров во время боя"
"Graphics Settings","Настройки графики"
"Graphics Quality:","Качество графики:"
"Controls","Управление"
"Edge scrolling","Прокрутка у края"
"Pans the camera when the cursor reaches the edge of the screen. Keyboard panning, right-drag and the minimap keep working either way.","Двигает камеру, когда курсор доходит до края экрана. Сдвиг с клавиатуры, перетаскивание правой кнопкой и мини-карта работают в любом случае."
"Edge scroll strength:","Сила прокрутки у края:"
"Sets both how far in from the edge the band reaches and how fast the camera moves inside it. At this setting the band is %1 px along the sides and %2 px along the top and bottom, measured at your interface scale.","Задаёт и то, как далеко от края тянется полоса, и то, как быстро камера в ней движется. При этой настройке полоса — %1 пикс. по бокам и %2 пикс. сверху и снизу, в вашем масштабе интерфейса."
"Camera pan speed:","Скорость сдвига камеры:"
"Camera zoom speed:","Скорость приближения камеры:"
"Camera rotation speed:","Скорость поворота камеры:"
"Scales keyboard panning, zooming and rotation; drag and minimap movement stay unchanged.","Масштабирует сдвиг, приближение и поворот с клавиатуры; движение перетаскиванием и мини-картой не меняется."
"Autosave","Автосохранение"
"Autosaves to keep:","Сколько автосохранений хранить:"
"Autosave every:","Автосохранение каждые:"
"%1 min","%1 мин"
"Older autosaves beyond this count are deleted automatically.","Автосохранения сверх этого числа удаляются сами."
"Accessibility","Доступность"
"Interface Scale:","Масштаб интерфейса:"
"Colour Vision:","Цветовое зрение:"
"Reduce motion","Меньше движения"
"Removes transitions and idle animations across every screen","Убирает переходы и холостую анимацию на всех экранах"
"High contrast","Высокая контрастность"
"Raises panel and text contrast for low vision","Повышает контраст панелей и текста для слабого зрения"
"Always show keyboard focus","Всегда показывать фокус клавиатуры"
"Keeps the focus outline visible even after clicking","Оставляет обводку фокуса видимой даже после щелчка"
"Team ring patterns","Узоры колец команд"
"On automatically while a colour vision mode is selected","Включается само, когда выбран режим цветового зрения"
"Marks each side with its own selection ring shape as well as its colour","Отмечает каждую сторону собственной формой кольца выделения, а не только цветом"
"Damage numbers:","Числа урона:"
"Numbers are a readout, not the feedback. Combat stays readable from motion, sound and hit reactions with them off.","Числа — это сводка, а не отклик. Даже с выключенными числами бой читается по движению, звуку и реакциям на попадания."
"Economy numbers","Числа хозяйства"
"Floats resource, trade and reserve changes over the building they happened at","Показывает изменения ресурсов, торговли и резерва над той постройкой, где они произошли"
"Prompts and readouts:","Подсказки и сводки:"
"Screen effects:","Экранные эффекты:"
"Camera motion:","Движение камеры:"
"Reduces head bob and sway while leading the commander. It never limits camera movement you ask for.","Уменьшает покачивание и раскачку головы, когда вы ведёте полководца. Движение камеры, о котором вы просите сами, оно не ограничивает никогда."
"These settings apply to the campaign, skirmish and editor tools alike.","Эти настройки одинаково действуют в кампании, стычке и в средствах редактора."
"Language","Язык"
"Select Language:","Выберите язык:"
"Language changes apply immediately","Смена языка действует сразу"
"About","О игре"
"Standard of Iron - RTS game","Standard of Iron — стратегия в реальном времени"
"Version %1","Версия %1"
"Third-Party Software","Стороннее программное обеспечение"
"This game uses the Qt framework, licensed under the GNU Lesser General Public License v3 (LGPL v3).","Эта игра использует Qt по лицензии GNU Lesser General Public License v3 (LGPL v3)."
"Qt is dynamically linked, allowing you to replace Qt libraries with your own versions.","Qt подключается динамически, так что вы можете заменить библиотеки Qt собственными версиями."
"LGPL v3 License","Лицензия LGPL v3"
"Qt Website","Сайт Qt"
"Music and sound effects generated with ElevenLabs under a licence that permits commercial use.","Музыка и звуковые эффекты созданы в ElevenLabs по лицензии, разрешающей коммерческое использование."
"Voice lines recorded by Adam Djellouli.","Голосовые реплики записал Adam Djellouli."
"ElevenLabs","ElevenLabs"
"Invalid team configuration: At least two teams must be selected to start a match.","Неверная настройка команд: чтобы начать матч, нужно выбрать хотя бы две команды."
"The order was excellent. It was given to nobody.","Приказ был превосходен. Отдан он был никому."
"There is no road to that place. There may never have been one.","Туда дороги нет. Возможно, её никогда и не было."
"The quartermaster has checked twice. There is nothing behind the second check.","Интендант проверил дважды. За второй проверкой ничего нет."
"We have the barracks, the coin and the will. We lack the people.","У нас есть казармы, деньги и воля. Нам не хватает людей."
"They are carrying something heavier than your orders.","Они несут кое-что потяжелее ваших приказов."
"Willing, sir. Simply not that willing, and not from here.","Готовы, командир. Просто не настолько готовы и не отсюда."
"Those are not ours to command. They have been very clear about it.","Не нам ими командовать. Они высказались об этом предельно ясно."
"Nothing there answers to that order. We checked.","Ничто там на этот приказ не отзывается. Мы проверили."
"Red","Красный"
"Blue","Синий"
"Brown","Коричневый"
"Green","Зелёный"
"Yellow","Жёлтый"
"Orange","Оранжевый"
"Purple","Фиолетовый"
"Cyan","Бирюзовый"
"Pink","Розовый"
"stone %1 / %2 · iron %3 / %4","камень %1 / %2 · железо %3 / %4"
"Builders cannot fight. This order needs soldiers - select the spearmen, archers or swordsmen near your camp.","Строители не воюют. Этому приказу нужны воины — выделите копейщиков, лучников или мечников у своего лагеря."
"That is a building. Orders in this step need soldiers - left-click one of the troops standing near your camp.","Это постройка. Приказам этого шага нужны воины — щёлкните левой по одному из отрядов у лагеря."
"Nothing is selected, so there is nobody to receive the order. Left-click a soldier or drag a box around several.","Ничего не выделено, значит, приказ принять некому. Щёлкните левой по воину или обведите рамкой нескольких."
"Collect and Build are only available to builders - soldiers and buildings cannot do this work. Select a builder (the worker with the hammer) first.","«Собрать» и «Строить» доступны только строителям — воины и постройки такой работы не делают. Сначала выделите строителя (работника с молотом)."
"No builder is selected. Left-click one of the builders standing by your barracks.","Строитель не выделен. Щёлкните левой по одному из строителей у ваших казарм."
"That is a building. Left-click one of the soldiers standing near your camp instead.","Это постройка. Щёлкните лучше левой по одному из воинов у лагеря."
"A Home costs %1 wood and %2 stone; you have %3 wood and %4 stone. The Build card stays grey until the yard holds enough - send a builder to collect the difference.","Дом стоит %1 древесины и %2 камня; у вас %3 древесины и %4 камня. Карточка стройки остаётся серой, пока во дворе не наберётся достаточно, — отправьте строителя добрать недостающее."
"A red outline means the site is blocked: too close to another building, on water or on a slope. Move it onto flat, open ground and left-click to confirm. Right-click cancels.","Красный контур означает, что площадка занята: слишком близко к другой постройке, на воде или на склоне. Сдвиньте его на ровную открытую землю и подтвердите левой кнопкой. Правая отменяет."
"Recruits come from the barracks. Left-click your barracks to open its production panel on the right.","Новобранцы приходят из казарм. Щёлкните левой по своим казармам, чтобы справа открылась их панель найма."
"The barracks has only %1 reserve left to draw on. Every recruit costs reserve; when it runs dry, build Homes - each Home raises families, and a civilian recruited there and sent to the barracks with Deliver refills it.","У казарм осталось всего %1 резерва. Каждый новобранец стоит резерва; когда он иссякнет, стройте Дома — каждый Дом растит семьи, а гражданский, нанятый там и посланный в казармы приказом «Доставить», его пополняет."
"A recruit card turns grey when a resource is short: soldiers need wood for shafts and iron for blades. Send a builder to collect more.","Карточка новобранца сереет, когда не хватает ресурса: воинам нужна древесина на древки и железо на наконечники. Отправьте строителя за добавкой."
"The raiders are here. Keep your soldiers together near the barracks: spearmen in front, archers behind, and the commander close so his aura reaches them.","Налётчики здесь. Держите воинов вместе у казарм: копейщики впереди, лучники позади, а полководец рядом, чтобы его аура их накрывала."
"The Roman raid is on its way. The wave tracker under the top bar counts it down and the minimap marks where it will enter.","Римский набег в пути. Счётчик волн под верхней панелью отсчитывает его, а мини-карта отмечает, где он войдёт."
"The Aura command only appears when your commander is selected. He is the standard-bearer with the crown badge, near the barracks.","Приказ «Аура» появляется только тогда, когда выделен ваш полководец. Это знаменосец со знаком короны, рядом с казармами."
"The aura is recharging or the commander is wounded; the button lights up again when it is ready.","Аура перезаряжается или полководец ранен; кнопка загорится снова, когда она будет готова."
"The Roman commander is still alive. A nation dies with the man who leads it - kill him and the camp falls.","Римский полководец ещё жив. Народ умирает вместе с тем, кто его ведёт: убейте его, и лагерь падёт."
"Select your troops","Выделите свои отряды"
"Move, and read the feedback","Идите и читайте отклик"
"Attack the Roman scouts","Атакуйте римских разведчиков"
"Fell timber","Нарубите древесины"
