"source","translation_pl_PL"
"You have %1","Masz %1"
"Buy %1 (%2g)","Kup %1 (%2 zł)"
"Spend %1 gold to buy %2 %3","Wydaj %1 złota, by kupić %2 %3"
"Sell %1 (+%2g)","Sprzedaj %1 (+%2 zł)"
"Sell %1 %2 for %3 gold","Sprzedaj %1 %2 za %3 złota"
"TEMPLE","ŚWIĄTYNIA"
"The sanctuary of your nation, raised in its own architectural style","Sanktuarium twojego narodu, wzniesione w jego własnym stylu"
"Watches over a wide stretch of ground and holds a settlement together","Czuwa nad szerokim pasem terenu i spaja osadę"
"TAKE VOWS","ZŁÓŻ ŚLUBY"
"Temple reserve: %1 / %2","Rezerwa świątyni: %1 / %2"
"Deliver civilians here to raise the temple's reserve","Odstawiaj tu cywilów, by podnieść rezerwę świątyni"
"FARM","FARMA"
"Grain ripens every %1s and a builder reaps %2 food from it","Zboże dojrzewa co %1 s, a budowniczy zbiera z niego %2 żywności"
"Ripe","Dojrzałe"
"%1% grown · %2s","wzrost %1% · %2 s"
"Select your farm to see its crop.","Zaznacz swoją farmę, by zobaczyć jej zbiory."
"A builder is on its way to harvest.","Budowniczy jest już w drodze na żniwa."
"Send a builder with Collect, or leave Auto Gather running.","Wyślij budowniczego rozkazem Zbieraj albo zostaw włączone auto-zbieranie."
"Harvested %1 times so far.","Zbiorów do tej pory: %1."
"No Barracks","Brak koszar"
"Select a barracks to recruit units","Zaznacz koszary, by rekrutować jednostki"
"food","żywności"
"wood","drewna"
"stone","kamienia"
"iron","żelaza"
"Select your marketplace to trade.","Zaznacz swoje targowisko, by handlować."
"The marketplace does not trade that.","Targowisko tym nie handluje."
"Not enough gold to buy %1.","Za mało złota, by kupić %1."
"Not enough %1 to sell.","Za mało %1 na sprzedaż."
"System","System"
"Camera","Kamera"
"Selection","Zaznaczenie"
"Orders","Rozkazy"
"Commander movement","Ruch dowódcy"
"Commander combat","Walka dowódcy"
"Open menu","Otwórz menu"
"Also cancels a placement or rally in progress","Anuluje też trwające stawianie budowli lub zbiórkę"
"Switch between army and commander","Przełączaj między armią a dowódcą"
"Quick save","Szybki zapis"
"Quick load","Szybkie wczytanie"
"Pause","Pauza"
"Speed up the battle","Przyspiesz bitwę"
"Steps through the speeds shown on the top bar","Przechodzi przez tempa pokazane na górnym pasku"
"Slow down the battle","Spowolnij bitwę"
"Pan camera up","Przesuń kamerę w górę"
"Slides the view north over the battlefield. Hold Shift to cover twice the ground per step.","Przesuwa widok na północ nad polem bitwy. Przytrzymaj Shift, by na krok pokonać dwa razy więcej terenu."
"Pan camera down","Przesuń kamerę w dół"
"Slides the view south. Hold Shift to move faster.","Przesuwa widok na południe. Przytrzymaj Shift, by iść szybciej."
"Pan camera left","Przesuń kamerę w lewo"
"Slides the view west. Hold Shift to move faster.","Przesuwa widok na zachód. Przytrzymaj Shift, by iść szybciej."
"Pan camera right","Przesuń kamerę w prawo"
"Slides the view east. Hold Shift to move faster.","Przesuwa widok na wschód. Przytrzymaj Shift, by iść szybciej."
"Rotate camera left","Obróć kamerę w lewo"
"Swings the view anticlockwise around the point you are looking at. Hold Shift to swing further.","Obraca widok przeciwnie do ruchu wskazówek zegara wokół punktu, na który patrzysz. Przytrzymaj Shift, by obrócić dalej."
"Rotate camera right","Obróć kamerę w prawo"
"Swings the view clockwise around the point you are looking at. Hold Shift to swing further.","Obraca widok zgodnie z ruchem wskazówek zegara wokół punktu, na który patrzysz. Przytrzymaj Shift, by obrócić dalej."
"Tilt camera up","Pochyl kamerę w górę"
"Raises the camera towards an overhead view. Hold Shift to tilt further.","Podnosi kamerę ku widokowi z góry. Przytrzymaj Shift, by pochylić dalej."
"Tilt camera down","Pochyl kamerę w dół"
"Lowers the camera towards the horizon. Hold Shift to tilt further.","Opuszcza kamerę ku horyzontowi. Przytrzymaj Shift, by pochylić dalej."
"Zoom in","Przybliż"
"Moves the camera closer. The mouse wheel does the same.","Przysuwa kamerę bliżej. Kółko myszy robi to samo."
"Zoom out","Oddal"
"Pulls the camera back. The mouse wheel does the same.","Odciąga kamerę. Kółko myszy robi to samo."
"Reset camera","Zresetuj kamerę"
"Returns to your own camp at the framing the mission opened with. The top bar has the same button.","Wraca do twojego obozu w kadrze, którym zaczęła się misja. Ten sam przycisk jest na górnym pasku."
"Select unit or drag a selection box","Zaznacz jednostkę albo zakreśl ramkę zaznaczenia"
"Select all troops","Zaznacz wszystkie oddziały"
"Move or attack-move to the cursor","Idź lub atakuj w ruchu ku kursorowi"
"Stop","Stój"
"Attack","Atakuj"
"Move","Ruch"
"Patrol","Patroluj"
"Guard","Strzeż"
"Hold position","Trzymaj pozycję"
"Deploy the selection in a formation","Rozstaw zaznaczenie w szyku"
"Opens the formation planner for the selected troops","Otwiera planer szyku dla zaznaczonych oddziałów"
"Place commander rally flag","Ustaw sztandar zbiórki dowódcy"
"Takes priority over anything else on its key while a rally can be placed","Ma pierwszeństwo przed wszystkim innym na tym klawiszu, dopóki można ustawić zbiórkę"
"Rotate structure outline left","Obróć obrys budowli w lewo"
"Turns the structure or wall you are placing anticlockwise. The mouse wheel does the same.","Obraca stawianą budowlę lub mur przeciwnie do ruchu wskazówek zegara. Kółko myszy robi to samo."
"Rotate structure outline right","Obróć obrys budowli w prawo"
"Turns the structure or wall you are placing clockwise. The mouse wheel does the same.","Obraca stawianą budowlę lub mur zgodnie z ruchem wskazówek zegara. Kółko myszy robi to samo."
"Move forward","Idź naprzód"
"Move back","Cofnij się"
"Strafe left","Krok w lewo"
"Strafe right","Krok w prawo"
"Turn left","Obróć w lewo"
"Turn right","Obróć w prawo"
"Sprint","Sprint"
"Dodge","Unik"
"Jump","Skok"
"Heavy attack","Cios ciężki"
"Branches or finishes the current commander combo","Rozgałęzia lub kończy obecną kombinację dowódcy"
"Block","Blok"
"Cycle locked target","Zmień namierzony cel"
"Weapon special","Sztuka broni"
"Use while guarding to shield bash","Użyj w gardzie, by uderzyć tarczą"
"Vanguard rush","Skok straży przedniej"
"Second wind","Drugi oddech"
"Commanding aura","Aura dowodzenia"
"Rally nearby troops","Zbierz pobliskie oddziały"
"Switch between melee weapon and bow","Przełącz między bronią białą a łukiem"
"Toggle first and third person","Przełącz pierwszą i trzecią osobę"
"No ground under the cursor","Pod kursorem nie ma gruntu"
"Cannot reach","Nie można dotrzeć"
"Hauling a load - cannot be interrupted","Wiezie ładunek — nie można przerwać"
"No match is running","Żaden mecz nie trwa"
"Spectating","Obserwowanie"
"Nothing selected","Nic nie zaznaczono"
"No target under the cursor","Pod kursorem nie ma celu"
"Recruit %1","Rekrutuj: %1"
"Show unit details","Pokaż szczegóły jednostki"
"Gold","Złoto"
"Food","Żywność"
"Timber","Drewno"
"Stone","Kamień"
"Iron","Żelazo"
"%1 %2/%3","%1 %2/%3"
"GUARD BROKEN","GARDA ZŁAMANA"
"PUNISH","KARA"
"FINISHER","WYKOŃCZENIE"
"HP %1/%2","PŻ %1/%2"
"TARGET","CEL"
"%1%","%1%"
"STAGGERED","ZACHWIANY"
"BOW  ·  X","ŁUK  ·  X"
"BLADE  ·  X","OSTRZE  ·  X"
"SPECIAL","SZTUKA"
"RUSH","SKOK"
"WIND","ODDECH"
"READY","GOTOWE"
"Save payload has no checksum","Ładunek zapisu nie ma sumy kontrolnej"
"Save payload is corrupted (stored checksum mismatch)","Ładunek zapisu jest uszkodzony (niezgodna zapisana suma kontrolna)"
"Save payload is corrupted (decompression failed)","Ładunek zapisu jest uszkodzony (dekompresja nie powiodła się)"
"Save payload is corrupted (expected %1 bytes, got %2)","Ładunek zapisu jest uszkodzony (oczekiwano %1 bajtów, otrzymano %2)"
"Save payload is corrupted (content checksum mismatch)","Ładunek zapisu jest uszkodzony (niezgodna suma kontrolna treści)"
"Not a Standard of Iron save file","To nie jest plik zapisu Standard of Iron"
"Unsupported save file version %1 (expected %2)","Nieobsługiwana wersja pliku zapisu %1 (oczekiwano %2)"
"Save file header is truncated","Nagłówek pliku zapisu jest ucięty"
"Save file header is corrupted: %1","Nagłówek pliku zapisu jest uszkodzony: %1"
"Save file uses an unknown compression format","Plik zapisu używa nieznanego formatu kompresji"
"Save file declares implausible sizes","Plik zapisu podaje nieprawdopodobne rozmiary"
"Save file body is truncated","Treść pliku zapisu jest ucięta"
"Save file preview image is corrupted","Obrazek podglądu w pliku zapisu jest uszkodzony"
"Save game","Zapisz grę"
"Cancel","Anuluj"
"Save Name:","Nazwa zapisu:"
"Enter save name...","Wpisz nazwę zapisu..."
"Save","Zapisz"
"Name the save first.","Najpierw nazwij zapis."
"Existing Saves","Istniejące zapisy"
"Untitled Save","Zapis bez nazwy"
"Unknown Map","Nieznana mapa"
"No Preview","Brak podglądu"
"Slot: %1","Slot: %1"
"%1 - %2 (%3 KB on disk)","%1 — %2 (%3 KB na dysku)"
"Campaign","Kampania"
"Skirmish","Potyczka"
"Last saved: %1","Ostatni zapis: %1"
"Overwrite","Nadpisz"
"Confirm Overwrite","Potwierdź nadpisanie"
"Are you sure you want to overwrite the save:\n""%1""?","Czy na pewno chcesz nadpisać zapis:\n„%1”?"
"Save failed","Zapis nie powiódł się"
"Saving ""%1""","Zapisywanie „%1”"
"Cancel","Anuluj"
"Cannot export a save with an empty name","Nie można wyeksportować zapisu z pustą nazwą"
"Failed to begin transaction","Nie udało się rozpocząć transakcji"
"Failed to commit transaction","Nie udało się zatwierdzić transakcji"
"Failed to open save database","Nie udało się otworzyć bazy zapisów"
"Failed to read schema version","Nie udało się odczytać wersji schematu"
"Failed to record schema version","Nie udało się zapisać wersji schematu"
"Failed to drop table %1","Nie udało się usunąć tabeli %1"
"Failed to create save schema","Nie udało się utworzyć schematu zapisów"
"Failed to prepare save query","Nie udało się przygotować zapytania zapisu"
"Failed to persist save slot","Nie udało się utrwalić slotu zapisu"
"Failed to read save slot","Nie udało się odczytać slotu zapisu"
"Save slot '%1' not found","Nie znaleziono slotu zapisu „%1”"
"Save slot '%1' uses unsupported format version %2","Slot zapisu „%1” używa nieobsługiwanej wersji formatu %2"
"Save slot '%1' uses an unknown compression format","Slot zapisu „%1” używa nieznanego formatu kompresji"
"Failed to enumerate save slots","Nie udało się wyliczyć slotów zapisu"
"Failed to look up save slot","Nie udało się odnaleźć slotu zapisu"
"Failed to store save preview","Nie udało się zapisać podglądu"
"Failed to delete save slot","Nie udało się usunąć slotu zapisu"
"Failed to get campaign progress","Nie udało się pobrać postępu kampanii"
"Failed to mark campaign as completed","Nie udało się oznaczyć kampanii jako ukończonej"
"Failed to prepare mission result insert","Nie udało się przygotować wstawienia wyniku misji"
"Failed to save mission result","Nie udało się zapisać wyniku misji"
"Failed to get mission progress","Nie udało się pobrać postępu misji"
"Failed to get campaign mission progress","Nie udało się pobrać postępu misji kampanii"
"Failed to register campaign mission","Nie udało się zarejestrować misji kampanii"
"Failed to prune removed campaign missions","Nie udało się usunąć skasowanych misji kampanii"
"Failed to look up the completed mission","Nie udało się odnaleźć ukończonej misji"
"Mission %1 is not part of campaign %2","Misja %1 nie należy do kampanii %2"
"Failed to mark mission as completed","Nie udało się oznaczyć misji jako ukończonej"
"Failed to find the next mission","Nie udało się znaleźć następnej misji"
"Failed to unlock next mission","Nie udało się odblokować następnej misji"
"Failed to count remaining missions","Nie udało się policzyć pozostałych misji"
"Protanopia (red-blind)","Protanopia (ślepota na czerwień)"
"Deuteranopia (green-blind)","Deuteranopia (ślepota na zieleń)"
"Tritanopia (blue-blind)","Tritanopia (ślepota na błękit)"
"Standard","Standardowy"
"Camera legend","Legenda kamery"
"Economy prompts","Podpowiedzi gospodarcze"
"Formation readout","Odczyt szyku"
"Lists the camera controls the first time a mission starts","Wypisuje sterowanie kamerą, gdy misja zaczyna się po raz pierwszy"
"Walks through the opening economy steps of a mission","Prowadzi przez początkowe kroki gospodarcze misji"
"Shows cohesion and phase after you send several units somewhere together, until the selection changes","Pokazuje spójność i fazę, gdy wyślesz kilka jednostek razem w jedno miejsce, aż zmieni się zaznaczenie"
"Off","Wyłączone"
"Important only","Tylko ważne"
"All hits","Wszystkie trafienia"
"Borderless","Bez ramki"
"Windowed","W oknie"
"Fullscreen","Pełny ekran"
"Settings","Ustawienia"
"Close","Zamknij"
"Audio Settings","Ustawienia dźwięku"
"Master Volume:","Głośność główna:"
"Music Volume:","Głośność muzyki:"
"SFX Volume:","Głośność efektów:"
"Voice Volume:","Głośność głosów:"
"Ambience Volume:","Głośność otoczenia:"
"Display Settings","Ustawienia obrazu"
"Window Mode:","Tryb okna:"
"VSync","Synchronizacja pionowa"
"Synchronises frames with your display to remove tearing. Toggling it takes effect the next time the game starts.","Zgrywa klatki z twoim wyświetlaczem, by usunąć rozrywanie obrazu. Przełączenie działa od następnego uruchomienia gry."
"Show FPS counter","Pokaż licznik klatek"
"Displays a small frame-rate readout during battle","Wyświetla mały odczyt liczby klatek podczas bitwy"
"Graphics Settings","Ustawienia grafiki"
"Graphics Quality:","Jakość grafiki:"
"Controls","Sterowanie"
"Edge scrolling","Przewijanie przy krawędzi"
"Pans the camera when the cursor reaches the edge of the screen. Keyboard panning, right-drag and the minimap keep working either way.","Przesuwa kamerę, gdy kursor dojdzie do krawędzi ekranu. Przesuwanie klawiaturą, przeciąganie prawym przyciskiem i minimapa działają tak czy inaczej."
"Edge scroll strength:","Siła przewijania przy krawędzi:"
"Sets both how far in from the edge the band reaches and how fast the camera moves inside it. At this setting the band is %1 px along the sides and %2 px along the top and bottom, measured at your interface scale.","Ustala zarazem, jak daleko od krawędzi sięga pas, i jak szybko porusza się w nim kamera. Przy tym ustawieniu pas ma %1 px po bokach i %2 px u góry i u dołu, mierzone w twojej skali interfejsu."
"Camera pan speed:","Szybkość przesuwania kamery:"
"Camera zoom speed:","Szybkość przybliżania kamery:"
"Camera rotation speed:","Szybkość obrotu kamery:"
"Scales keyboard panning, zooming and rotation; drag and minimap movement stay unchanged.","Skaluje przesuwanie, przybliżanie i obrót z klawiatury; ruch przeciąganiem i minimapą pozostaje bez zmian."
"Autosave","Autozapis"
"Autosaves to keep:","Ile autozapisów zachować:"
"Autosave every:","Autozapis co:"
"%1 min","%1 min"
"Older autosaves beyond this count are deleted automatically.","Starsze autozapisy ponad tę liczbę są usuwane automatycznie."
"Accessibility","Ułatwienia dostępu"
"Interface Scale:","Skala interfejsu:"
"Colour Vision:","Widzenie barw:"
"Reduce motion","Ogranicz ruch"
"Removes transitions and idle animations across every screen","Usuwa przejścia i animacje bezczynności na wszystkich ekranach"
"High contrast","Wysoki kontrast"
"Raises panel and text contrast for low vision","Podnosi kontrast paneli i tekstu dla słabego wzroku"
"Always show keyboard focus","Zawsze pokazuj fokus klawiatury"
"Keeps the focus outline visible even after clicking","Zostawia obrys fokusu widoczny nawet po kliknięciu"
"Team ring patterns","Wzory pierścieni drużyn"
"On automatically while a colour vision mode is selected","Włączone automatycznie, gdy wybrany jest tryb widzenia barw"
"Marks each side with its own selection ring shape as well as its colour","Oznacza każdą stronę własnym kształtem pierścienia zaznaczenia, nie tylko barwą"
"Damage numbers:","Liczby obrażeń:"
"Numbers are a readout, not the feedback. Combat stays readable from motion, sound and hit reactions with them off.","Liczby to odczyt, nie sprzężenie zwrotne. Nawet wyłączone, walka pozostaje czytelna dzięki ruchowi, dźwiękowi i reakcjom na trafienia."
"Economy numbers","Liczby gospodarcze"
"Floats resource, trade and reserve changes over the building they happened at","Wyświetla zmiany surowców, handlu i rezerwy nad budowlą, w której zaszły"
"Prompts and readouts:","Podpowiedzi i odczyty:"
"Screen effects:","Efekty ekranowe:"
"Camera motion:","Ruch kamery:"
"Reduces head bob and sway while leading the commander. It never limits camera movement you ask for.","Ogranicza kołysanie i chwianie głowy, gdy prowadzisz dowódcę. Nigdy nie ogranicza ruchu kamery, o który sam prosisz."
"These settings apply to the campaign, skirmish and editor tools alike.","Te ustawienia dotyczą tak samo kampanii, potyczki i narzędzi edytora."
"Language","Język"
"Select Language:","Wybierz język:"
"Language changes apply immediately","Zmiana języka działa natychmiast"
"About","O grze"
"Standard of Iron - RTS game","Standard of Iron — gra RTS"
"Version %1","Wersja %1"
"Third-Party Software","Oprogramowanie zewnętrzne"
"This game uses the Qt framework, licensed under the GNU Lesser General Public License v3 (LGPL v3).","Ta gra używa frameworka Qt na licencji GNU Lesser General Public License v3 (LGPL v3)."
"Qt is dynamically linked, allowing you to replace Qt libraries with your own versions.","Qt jest linkowane dynamicznie, więc możesz zastąpić biblioteki Qt własnymi wersjami."
"LGPL v3 License","Licencja LGPL v3"
"Qt Website","Strona Qt"
"Music and sound effects generated with ElevenLabs under a licence that permits commercial use.","Muzyka i efekty dźwiękowe wygenerowane w ElevenLabs na licencji zezwalającej na użytek komercyjny."
"Voice lines recorded by Adam Djellouli.","Kwestie głosowe nagrał Adam Djellouli."
"ElevenLabs","ElevenLabs"
"Invalid team configuration: At least two teams must be selected to start a match.","Niepoprawna konfiguracja drużyn: do rozpoczęcia meczu trzeba wybrać co najmniej dwie drużyny."
"The order was excellent. It was given to nobody.","Rozkaz był znakomity. Wydano go nikomu."
"There is no road to that place. There may never have been one.","Do tego miejsca nie ma drogi. Może nigdy jej nie było."
"The quartermaster has checked twice. There is nothing behind the second check.","Kwatermistrz sprawdził dwa razy. Za drugim sprawdzeniem nic nie ma."
"We have the barracks, the coin and the will. We lack the people.","Mamy koszary, mamy monetę i wolę. Brakuje nam ludzi."
"They are carrying something heavier than your orders.","Niosą coś cięższego niż twoje rozkazy."
"Willing, sir. Simply not that willing, and not from here.","Chętni, panie. Po prostu nie aż tak chętni i nie stąd."
"Those are not ours to command. They have been very clear about it.","Nie nam nimi rozkazywać. Wyrazili się w tej sprawie bardzo jasno."
"Nothing there answers to that order. We checked.","Nic tam nie odpowiada na ten rozkaz. Sprawdziliśmy."
"Red","Czerwony"
"Blue","Niebieski"
"Brown","Brązowy"
"Green","Zielony"
"Yellow","Żółty"
"Orange","Pomarańczowy"
"Purple","Fioletowy"
"Cyan","Turkusowy"
"Pink","Różowy"
"stone %1 / %2 · iron %3 / %4","kamień %1 / %2 · żelazo %3 / %4"
"Builders cannot fight. This order needs soldiers - select the spearmen, archers or swordsmen near your camp.","Budowniczowie nie walczą. Ten rozkaz potrzebuje żołnierzy — zaznacz włóczników, łuczników albo mieczników przy swoim obozie."
"That is a building. Orders in this step need soldiers - left-click one of the troops standing near your camp.","To jest budowla. Rozkazy w tym kroku potrzebują żołnierzy — kliknij lewym jednego z oddziałów stojących przy obozie."
"Nothing is selected, so there is nobody to receive the order. Left-click a soldier or drag a box around several.","Nic nie jest zaznaczone, więc nie ma komu przyjąć rozkazu. Kliknij lewym żołnierza albo zakreśl ramką kilku."
"Collect and Build are only available to builders - soldiers and buildings cannot do this work. Select a builder (the worker with the hammer) first.","Zbieraj i Buduj są dostępne tylko dla budowniczych — żołnierze i budowle nie wykonają tej pracy. Najpierw zaznacz budowniczego (robotnika z młotem)."
"No builder is selected. Left-click one of the builders standing by your barracks.","Nie zaznaczono budowniczego. Kliknij lewym jednego z budowniczych stojących przy koszarach."
"That is a building. Left-click one of the soldiers standing near your camp instead.","To jest budowla. Kliknij lewym raczej jednego z żołnierzy stojących przy obozie."
"A Home costs %1 wood and %2 stone; you have %3 wood and %4 stone. The Build card stays grey until the yard holds enough - send a builder to collect the difference.","Dom kosztuje %1 drewna i %2 kamienia; masz %3 drewna i %4 kamienia. Karta budowy zostaje szara, dopóki na składzie nie będzie dość — poślij budowniczego, by dozbierał różnicę."
"A red outline means the site is blocked: too close to another building, on water or on a slope. Move it onto flat, open ground and left-click to confirm. Right-click cancels.","Czerwony obrys znaczy, że plac jest zablokowany: za blisko innej budowli, na wodzie albo na stoku. Przesuń go na płaski, otwarty grunt i zatwierdź lewym przyciskiem. Prawy anuluje."
"Recruits come from the barracks. Left-click your barracks to open its production panel on the right.","Rekruci pochodzą z koszar. Kliknij lewym swoje koszary, by otworzyć po prawej ich panel produkcji."
"The barracks has only %1 reserve left to draw on. Every recruit costs reserve; when it runs dry, build Homes - each Home raises families, and a civilian recruited there and sent to the barracks with Deliver refills it.","Koszary mają już tylko %1 rezerwy do wykorzystania. Każdy rekrut kosztuje rezerwę; gdy się wyczerpie, buduj Domy — każdy Dom wychowuje rodziny, a cywil zrekrutowany tam i posłany do koszar rozkazem Odstaw ją uzupełnia."
"A recruit card turns grey when a resource is short: soldiers need wood for shafts and iron for blades. Send a builder to collect more.","Karta rekruta szarzeje, gdy brakuje surowca: żołnierze potrzebują drewna na drzewce i żelaza na groty. Poślij budowniczego po więcej."
"The raiders are here. Keep your soldiers together near the barracks: spearmen in front, archers behind, and the commander close so his aura reaches them.","Najeźdźcy są tutaj. Trzymaj żołnierzy razem przy koszarach: włócznicy z przodu, łucznicy z tyłu, a dowódca blisko, by jego aura ich obejmowała."
"The Roman raid is on its way. The wave tracker under the top bar counts it down and the minimap marks where it will enter.","Rzymski najazd jest w drodze. Licznik fal pod górnym paskiem go odlicza, a minimapa znaczy, gdzie wejdzie."
"The Aura command only appears when your commander is selected. He is the standard-bearer with the crown badge, near the barracks.","Rozkaz Aura pojawia się tylko wtedy, gdy zaznaczony jest twój dowódca. To chorąży z odznaką korony, obok koszar."
"The aura is recharging or the commander is wounded; the button lights up again when it is ready.","Aura się odnawia albo dowódca jest ranny; przycisk zapali się znowu, gdy będzie gotowa."
"The Roman commander is still alive. A nation dies with the man who leads it - kill him and the camp falls.","Rzymski dowódca wciąż żyje. Naród umiera wraz z człowiekiem, który go prowadzi — zabij go, a obóz padnie."
"Select your troops","Zaznacz swoje oddziały"
"Move, and read the feedback","Ruszaj i czytaj informacje zwrotne"
"Attack the Roman scouts","Zaatakuj rzymskich zwiadowców"
"Fell timber","Zetnij drewno"
"Quarry stone, mine iron","Łam kamień, wydobywaj żelazo"
"Raise a Home","Postaw Dom"
"Recruit a soldier","Zrekrutuj żołnierza"
"Assemble an army","Zbierz armię"
"Defend the camp","Broń obozu"
"Guard, Hold and Patrol","Strzeż, Trzymaj i Patroluj"
"Your commander","Twój dowódca"
"The camera","Kamera"
"Pause and game speed","Pauza i tempo gry"
"Objectives","Cele"
"Take the Roman camp","Zdobądź rzymski obóz"
"Everything starts with a selection. Left-click a soldier to select it, or hold the left button and drag a box around several. Selected troops show a ring at their feet, and the panel at the bottom lists who is under your command.","Wszystko zaczyna się od zaznaczenia. Kliknij żołnierza lewym przyciskiem, by go zaznaczyć, albo przytrzymaj lewy i zakreśl ramką kilku. Zaznaczone oddziały mają pierścień u stóp, a panel na dole wypisuje, kto jest pod twoim dowództwem."
"With troops selected, right-click on the ground to march there. A marker appears where they are headed and the banner above the command grid confirms the order. A rejected order says why it could not be carried out - read the banner when nothing happens.","Mając zaznaczone oddziały, kliknij prawym przyciskiem ziemię, by tam pomaszerowały. Tam, dokąd idą, pojawia się znacznik, a baner nad siatką poleceń potwierdza rozkaz. Odrzucony rozkaz mówi, czemu nie dało się go wykonać — czytaj baner, gdy nic się nie dzieje."
"A Roman scouting party stands just beyond your tents; the minimap marks enemies in red. Right-click an enemy to attack it, or press Attack and click the target. While your troops fight, the target panel above the command grid tracks the enemy's health.","Rzymski patrol zwiadowczy stoi tuż za twoimi namiotami; minimapa znaczy wrogów na czerwono. Kliknij wroga prawym przyciskiem, by go zaatakować, albo naciśnij Atakuj i kliknij cel. Gdy twoje oddziały walczą, panel celu nad siatką poleceń śledzi zdrowie wroga."
"Wood pays for nearly everything. Select a builder, press Collect and click a pine tree. The builder fells it, carries the logs to the stone yard beside your barracks, and only when the load is dropped there does the wood counter in the top bar rise. Auto Gather keeps a builder working the nearest nodes on its own.","Drewnem płaci się niemal za wszystko. Zaznacz budowniczego, naciśnij Zbieraj i kliknij sosnę. Budowniczy ją ścina, niesie kłody na skład przy koszarach — i dopiero gdy tam złoży ładunek, licznik drewna na górnym pasku rośnie. Auto-zbieranie każe budowniczemu samodzielnie pracować przy najbliższych źródłach."
"Boulders yield stone for buildings and towers; ore seams yield iron for blades and armour. Both are hauled to the same barracks yard, which fills up as your stores grow. Gold comes with the camp and from trade at a marketplace. Set one builder on the boulders and another on the ore.","Głazy dają kamień na budowle i wieże; żyły rudy dają żelazo na ostrza i zbroje. Jedno i drugie wozi się na ten sam dziedziniec koszar, który zapełnia się w miarę wzrostu zapasów. Złoto przychodzi razem z obozem i z handlu na targowisku. Poślij jednego budowniczego do głazów, a drugiego do rudy."
"Select a builder and press Build to open the structure list. Each card shows its cost in wood, stone and gold; a grey card means you cannot afford it yet. Choose Home, then move the outline: green means the ground is flat and clear, red means it is blocked. Scroll to rotate, left-click to confirm. Homes raise the families your barracks will later recruit from.","Zaznacz budowniczego i naciśnij Buduj, by otworzyć listę budowli. Każda karta pokazuje koszt w drewnie, kamieniu i złocie; szara karta znaczy, że jeszcze cię na nią nie stać. Wybierz Dom, a potem przesuń obrys: zielony znaczy, że grunt jest płaski i wolny, czerwony — że zablokowany. Kółko obraca, lewy przycisk zatwierdza. Domy wychowują rodziny, z których później rekrutują twoje koszary."
"Left-click your barracks and pick a soldier from the production panel. Every recruit costs population and resources: the population comes from the barracks' own pool, shown on the card, and refills when civilians from your Homes are delivered to it. The bar in the top panel shows your army against the map's population cap.","Kliknij lewym swoje koszary i wybierz żołnierza z panelu produkcji. Każdy rekrut kosztuje ludność i surowce: ludność bierze się z własnej puli koszar, pokazanej na karcie, i uzupełnia się, gdy odstawisz do nich cywilów ze swoich Domów. Pasek w górnym panelu pokazuje twoją armię wobec limitu ludności mapy."
"One soldier is not an army. Keep recruiting until you field eight - mix spearmen to hold a line with archers to punish whatever charges it. If a card turns grey, the tutorial hint tells you what ran short. New recruits gather at the barracks' rally flag; set one from the production panel.","Jeden żołnierz to nie armia. Rekrutuj, aż wystawisz ośmiu — mieszaj włóczników, którzy trzymają linię, z łucznikami, którzy karzą tego, kto na nią uderzy. Gdy karta zszarzeje, podpowiedź samouczka powie, czego zabrakło. Nowi rekruci zbierają się przy sztandarze zbiórki koszar; ustaw go w panelu produkcji."
"A Roman raid is coming. The wave tracker counts it down and the minimap marks its entry point. Form up near your barracks: spearmen in front, archers behind, and the commander close so his aura reaches them. Break the raid to continue.","Nadchodzi rzymski najazd. Licznik fal go odlicza, a minimapa znaczy miejsce wejścia. Uformuj się przy koszarach: włócznicy z przodu, łucznicy z tyłu, a dowódca blisko, by jego aura ich obejmowała. Złam najazd, by przejść dalej."
"Soldiers can be told how to behave, and the three orders are not the same. Guard: click a spot; they meet anything that comes near it, then walk back to it. Hold: they never take a step, but they reach further, hit harder and brace against a charge - archers and spearmen only. Patrol: click two waypoints and they march the beat between them, fighting whatever crosses it. Hover any of the three to read the full rules, then give one of them to your soldiers.","Żołnierzom można powiedzieć, jak mają się zachowywać, a te trzy rozkazy nie są tym samym. Strzeż: kliknij punkt; wychodzą naprzeciw temu, co się zbliży, i wracają. Trzymaj: nie robią ani kroku, ale sięgają dalej, biją mocniej i podpierają się przed szarżą — tylko łucznicy i włócznicy. Patroluj: kliknij dwa punkty, a będą chodzić między nimi, bijąc wszystko, co przetnie trasę. Najedź na dowolny z trzech, by przeczytać pełne zasady, a potem wydaj jeden ze swoim żołnierzom."
"Your commander carries the standard. Troops near him fight with higher morale, and while he is selected two commands appear: Aura empowers every soldier in a ring around him for a stretch and then recharges - the button prints the radius, how long it lasts and how long until it returns - and Rally plants a flag that the army marches to. If he dies, your lines break and the mission is lost - keep him behind the spears. Trigger the Aura now.","Twój dowódca niesie sztandar. Oddziały przy nim walczą z wyższym morale, a gdy jest zaznaczony, pojawiają się dwa polecenia: Aura wzmacnia na jakiś czas każdego żołnierza w kręgu wokół niego, a potem się odnawia — przycisk wypisuje promień, czas trwania i czas do powrotu — a Zbiórka wbija sztandar, do którego maszeruje armia. Jeśli zginie, twoje linie pękają i misja jest przegrana — trzymaj go za włóczniami. Odpal teraz Aurę."
