"source","translation_es_ES"
"TEMPLE","TEMPLO"
"The sanctuary of your nation, raised in its own architectural style","El santuario de tu nación, levantado en su propio estilo arquitectónico"
"Watches over a wide stretch of ground and holds a settlement together","Vigila una amplia extensión de terreno y mantiene unido un asentamiento"
"Food","Comida"
"Need %1","Necesitas: %1"
"Build siege weapons, structures, and gather wood, stone, iron, and food","Construye armas de asedio y estructuras, y recolecta madera, piedra, hierro y comida"
"Harvest Grain","Cosechar grano"
"Slaughter Sheep","Sacrificar oveja"
"Farm","Granja"
"Build Farm\n%1\nCost: %2\nBuild time: %3s","Construir granja\n%1\nCoste: %2\nTiempo de construcción: %3 s"
"Grows grain in cycles\nBuilders reap it for the food that recruits civilians","Cultiva grano por ciclos\nLos constructores lo siegan para la comida que recluta civiles"
"FARM","GRANJA"
"Grain ripens every %1s and a builder reaps %2 food from it","El grano madura cada %1 s y un constructor cosecha %2 de comida"
"Ripe","Maduro"
"%1% grown · %2s","%1 % crecido · %2 s"
"Select your farm to see its crop.","Selecciona tu granja para ver su cosecha."
"A builder is on its way to harvest.","Un constructor va de camino a cosechar."
"Send a builder with Collect, or leave Auto Gather running.","Envía un constructor con Recolectar o deja activa la Recolección automática."
"Harvested %1 times so far.","Cosechada %1 veces hasta ahora."
"Select a barracks or temple before setting a rally point.","Selecciona un cuartel o un templo antes de fijar un punto de reunión."
"TAKE VOWS","TOMAR VOTOS"
"Deliver civilians here to raise the temple's available population","Entrega civiles aquí para aumentar la población disponible del templo"
"wood","madera"
"stone","piedra"
"iron","hierro"
"Select your marketplace to trade.","Selecciona tu mercado para comerciar."
"Marketplace can trade only wood, stone, or iron.","El mercado solo puede comerciar con madera, piedra o hierro."
"Not enough gold to buy %1.","No hay suficiente oro para comprar %1."
"Not enough %1 to sell.","No hay suficiente %1 para vender."
"System","Sistema"
"Camera","Cámara"
"Selection","Selección"
"Orders","Órdenes"
"Commander movement","Movimiento del comandante"
"Commander combat","Combate del comandante"
"Open menu","Abrir el menú"
"Also cancels a placement or rally in progress","También cancela una colocación o una reunión en curso"
"Switch between army and commander","Alternar entre ejército y comandante"
"Quick save","Guardado rápido"
"Quick load","Carga rápida"
"Pause","Pausa"
"Pan camera up","Desplazar la cámara arriba"
"Pan camera down","Desplazar la cámara abajo"
"Pan camera left","Desplazar la cámara a la izquierda"
"Pan camera right","Desplazar la cámara a la derecha"
"Rotate camera left","Rotar la cámara a la izquierda"
"Rotate camera right","Rotar la cámara a la derecha"
"Select unit or drag a selection box","Seleccionar una unidad o arrastrar un recuadro de selección"
"Select all troops","Seleccionar todas las tropas"
"Move or attack-move to the cursor","Mover o atacar en movimiento hacia el cursor"
"Stop","Detener"
"Attack","Atacar"
"Move","Mover"
"Patrol","Patrullar"
"Guard","Proteger"
"Hold position","Mantener la posición"
"Deploy the selection in a formation","Desplegar la selección en formación"
"Opens the formation planner for the selected troops","Abre el planificador de formaciones para las tropas seleccionadas"
"Place commander rally flag","Colocar la bandera de reunión del comandante"
"Move forward","Avanzar"
"Move back","Retroceder"
"Strafe left","Desplazarse a la izquierda"
"Strafe right","Desplazarse a la derecha"
"Turn left","Girar a la izquierda"
"Turn right","Girar a la derecha"
"Sprint","Esprintar"
"Dodge","Esquivar"
"Jump","Saltar"
"Block","Bloquear"
"Cycle locked target","Cambiar de objetivo fijado"
"Special action","Acción especial"
"Vanguard rush","Embestida de vanguardia"
"Second wind","Segundo aliento"
"Commanding aura","Aura de mando"
"Rally nearby troops","Reunir a las tropas cercanas"
"Switch between melee weapon and bow","Alternar entre arma cuerpo a cuerpo y arco"
"Toggle first and third person","Alternar entre primera y tercera persona"
"Speed up the battle","Acelerar la batalla"
"Steps through the speeds shown on the top bar","Recorre las velocidades mostradas en la barra superior"
"Slow down the battle","Ralentizar la batalla"
"Slides the view north over the battlefield. Hold Shift to cover twice the ground per step.","Desplaza la vista hacia el norte del campo de batalla. Mantén Mayús para cubrir el doble de terreno por paso."
"Slides the view south. Hold Shift to move faster.","Desplaza la vista hacia el sur. Mantén Mayús para ir más rápido."
"Slides the view west. Hold Shift to move faster.","Desplaza la vista hacia el oeste. Mantén Mayús para ir más rápido."
"Slides the view east. Hold Shift to move faster.","Desplaza la vista hacia el este. Mantén Mayús para ir más rápido."
"Swings the view anticlockwise around the point you are looking at. Hold Shift to swing further.","Gira la vista en sentido antihorario alrededor del punto que estás mirando. Mantén Mayús para girar más."
"Swings the view clockwise around the point you are looking at. Hold Shift to swing further.","Gira la vista en sentido horario alrededor del punto que estás mirando. Mantén Mayús para girar más."
"Tilt camera up","Inclinar la cámara hacia arriba"
"Raises the camera towards an overhead view. Hold Shift to tilt further.","Eleva la cámara hacia una vista cenital. Mantén Mayús para inclinar más."
"Tilt camera down","Inclinar la cámara hacia abajo"
"Lowers the camera towards the horizon. Hold Shift to tilt further.","Baja la cámara hacia el horizonte. Mantén Mayús para inclinar más."
"Zoom in","Acercar"
"Moves the camera closer. The mouse wheel does the same.","Acerca la cámara. La rueda del ratón hace lo mismo."
"Zoom out","Alejar"
"Pulls the camera back. The mouse wheel does the same.","Aleja la cámara. La rueda del ratón hace lo mismo."
"Reset camera","Reiniciar la cámara"
"Returns to your own camp at the framing the mission opened with. The top bar has the same button.","Vuelve a tu campamento con el encuadre con el que se abrió la misión. La barra superior tiene el mismo botón."
"Takes priority over anything else on its key while a rally can be placed","Tiene prioridad sobre cualquier otra cosa en su tecla mientras se pueda colocar una bandera de reunión"
"HP %1/%2","PS %1/%2"
"STM %1%","AGT %1%"
"FINISHER","REMATE"
"COMBO","COMBO"
"POSTURE","POSTURA"
"GUARD BROKEN","GUARDIA ROTA"
"⚡ PUNISH ⚡","⚡ CASTIGO ⚡"
"BASH","GOLPE"
"RUSH","EMBESTIDA"
"WIND","ALIENTO"
"READY","LISTO"
"BOW  ·  X","ARCO  ·  X"
"BLADE  ·  X","HOJA  ·  X"
"Save payload has no checksum","Los datos de la partida no tienen suma de verificación"
"Save payload is corrupted (stored checksum mismatch)","Los datos de la partida están dañados (la suma de verificación guardada no coincide)"
"Save payload is corrupted (decompression failed)","Los datos de la partida están dañados (falló la descompresión)"
"Save payload is corrupted (expected %1 bytes, got %2)","Los datos de la partida están dañados (se esperaban %1 bytes y se obtuvieron %2)"
"Save payload is corrupted (content checksum mismatch)","Los datos de la partida están dañados (la suma de verificación del contenido no coincide)"
"Not a Standard of Iron save file","No es un archivo de guardado de Standard of Iron"
"Unsupported save file version %1 (expected %2)","Versión de archivo de guardado no admitida: %1 (se esperaba %2)"
"Save file header is truncated","La cabecera del archivo de guardado está truncada"
"Save file header is corrupted: %1","La cabecera del archivo de guardado está dañada: %1"
"Save file uses an unknown compression format","El archivo de guardado usa un formato de compresión desconocido"
"Save file declares implausible sizes","El archivo de guardado declara tamaños inverosímiles"
"Save file body is truncated","El cuerpo del archivo de guardado está truncado"
"Save file preview image is corrupted","La imagen de vista previa del archivo de guardado está dañada"
"Save Game","Guardar partida"
"Cancel","Cancelar"
"Save Name:","Nombre de la partida:"
"Enter save name...","Escribe el nombre de la partida..."
"Save","Guardar"
"Existing Saves","Partidas guardadas"
"No Preview","Sin vista previa"
"Slot: %1","Ranura: %1"
"Last saved: %1","Último guardado: %1"
"Overwrite","Sobrescribir"
"Confirm Overwrite","Confirmar sobrescritura"
"Are you sure you want to overwrite the save:\n""%1""?","¿Seguro que quieres sobrescribir la partida guardada:\n«%1»?"
"%1 - %2 (%3 KB on disk)","%1 - %2 (%3 KB en disco)"
"Campaign","Campaña"
"Skirmish","Escaramuza"
"Untitled Save","Partida sin título"
"Unknown Map","Mapa desconocido"
"Name the save first.","Ponle nombre a la partida primero."
"Save failed","El guardado ha fallado"
"Saving ""%1""","Guardando «%1»"
"Cancel","Cancelar"
"Cannot export a save with an empty name","No se puede exportar una partida guardada sin nombre"
"Failed to begin transaction","No se pudo iniciar la transacción"
"Failed to commit transaction","No se pudo confirmar la transacción"
"Failed to open save database","No se pudo abrir la base de datos de partidas"
"Failed to read schema version","No se pudo leer la versión del esquema"
"Failed to record schema version","No se pudo registrar la versión del esquema"
"Failed to drop table %1","No se pudo eliminar la tabla %1"
"Failed to create save schema","No se pudo crear el esquema de guardado"
"Failed to prepare save query","No se pudo preparar la consulta de guardado"
"Failed to persist save slot","No se pudo conservar la ranura de guardado"
"Failed to read save slot","No se pudo leer la ranura de guardado"
"Save slot '%1' not found","No se encontró la ranura de guardado «%1»"
"Save slot '%1' uses unsupported format version %2","La ranura de guardado «%1» usa la versión de formato %2, no admitida"
"Save slot '%1' uses an unknown compression format","La ranura de guardado «%1» usa un formato de compresión desconocido"
"Failed to enumerate save slots","No se pudieron enumerar las ranuras de guardado"
"Failed to look up save slot","No se pudo consultar la ranura de guardado"
"Failed to store save preview","No se pudo almacenar la vista previa de la partida"
"Failed to delete save slot","No se pudo eliminar la ranura de guardado"
"Failed to get campaign progress","No se pudo obtener el progreso de la campaña"
"Failed to mark campaign as completed","No se pudo marcar la campaña como completada"
"Failed to prepare mission result insert","No se pudo preparar la inserción del resultado de la misión"
"Failed to save mission result","No se pudo guardar el resultado de la misión"
"Failed to get mission progress","No se pudo obtener el progreso de la misión"
"Failed to get campaign mission progress","No se pudo obtener el progreso de la misión de campaña"
"Failed to register campaign mission","No se pudo registrar la misión de campaña"
"Failed to mark mission as completed","No se pudo marcar la misión como completada"
"Failed to unlock next mission","No se pudo desbloquear la siguiente misión"
"Failed to prune removed campaign missions","No se pudieron purgar las misiones de campaña eliminadas"
"Failed to look up the completed mission","No se pudo consultar la misión completada"
"Mission %1 is not part of campaign %2","La misión %1 no forma parte de la campaña %2"
"Failed to find the next mission","No se pudo encontrar la siguiente misión"
"Failed to count remaining missions","No se pudieron contar las misiones restantes"
"Settings","Ajustes"
"Close","Cerrar"
"Language","Idioma"
"Select Language:","Selecciona el idioma:"
"Language changes apply immediately","Los cambios de idioma se aplican de inmediato"
"Protanopia (red-blind)","Protanopía (ceguera al rojo)"
"Deuteranopia (green-blind)","Deuteranopía (ceguera al verde)"
"Tritanopia (blue-blind)","Tritanopía (ceguera al azul)"
"Standard","Estándar"
"Audio Settings","Ajustes de sonido"
"Master Volume:","Volumen general:"
"Music Volume:","Volumen de la música:"
"SFX Volume:","Volumen de los efectos:"
"Voice Volume:","Volumen de las voces:"
"Ambience Volume:","Volumen del ambiente:"
"Graphics Settings","Ajustes gráficos"
"Graphics Quality:","Calidad gráfica:"
"Autosave","Guardado automático"
"Autosaves to keep:","Guardados automáticos que conservar:"
"Autosave every:","Guardar automáticamente cada:"
"Off","Desactivado"
"%1 min","%1 min"
"Older autosaves beyond this count are deleted automatically.","Los guardados automáticos más antiguos que superen esta cantidad se eliminan automáticamente."
"Accessibility","Accesibilidad"
"Interface Scale:","Escala de la interfaz:"
"Colour Vision:","Visión del color:"
"Reduce motion","Reducir el movimiento"
"Removes transitions and idle animations across every screen","Elimina las transiciones y las animaciones en reposo en todas las pantallas"
"High contrast","Alto contraste"
"Raises panel and text contrast for low vision","Aumenta el contraste de paneles y texto para baja visión"
"Always show keyboard focus","Mostrar siempre el foco del teclado"
"Keeps the focus outline visible even after clicking","Mantiene visible el contorno de foco incluso después de hacer clic"
"These settings apply to the campaign, skirmish and editor tools alike.","Estos ajustes se aplican por igual a la campaña, la escaramuza y las herramientas del editor."
"About","Acerca de"
"Standard of Iron - RTS Game","Standard of Iron - Juego de estrategia en tiempo real"
"Version %1","Versión %1"
"Third-Party Software","Software de terceros"
"This game uses the Qt framework, licensed under the GNU Lesser General Public License v3 (LGPL v3).","Este juego usa el framework Qt, con licencia GNU Lesser General Public License v3 (LGPL v3)."
"Qt is dynamically linked, allowing you to replace Qt libraries with your own versions.","Qt está enlazado dinámicamente, lo que te permite sustituir las bibliotecas de Qt por tus propias versiones."
"LGPL v3 License","Licencia LGPL v3"
"Qt Website","Sitio web de Qt"
"Controls","Controles"
"Edge scrolling","Desplazamiento por los bordes"
"Team ring patterns","Patrones de anillo de equipo"
"On automatically while a colour vision mode is selected","Se activa automáticamente mientras haya un modo de visión del color seleccionado"
"Marks each side with its own selection ring shape as well as its colour","Marca cada bando con su propia forma de anillo de selección además de su color"
"Damage numbers","Números de daño"
"Shows the damage dealt above each hit while leading the commander","Muestra el daño infligido sobre cada impacto mientras diriges al comandante"
"Screen effects:","Efectos de pantalla:"
"Camera motion:","Movimiento de cámara:"
"Reduces head bob and sway while leading the commander. It never limits camera movement you ask for.","Reduce el balanceo y el vaivén de la cabeza mientras diriges al comandante. Nunca limita el movimiento de cámara que tú pidas."
"Music generated with Meta's AudioCraft, whose models are licensed CC BY-NC 4.0. This game is distributed free of charge, which that licence permits; it may not be sold.","Música generada con AudioCraft de Meta, cuyos modelos tienen licencia CC BY-NC 4.0. Este juego se distribuye de forma gratuita, lo que dicha licencia permite; no puede venderse."
"Voice lines recorded by Adam Djellouli.","Voces grabadas por Adam Djellouli."
"CC BY-NC 4.0 License","Licencia CC BY-NC 4.0"
"AudioCraft","AudioCraft"
"Pans the camera when the cursor reaches the edge of the screen. Keyboard panning, right-drag and the minimap keep working either way.","Desplaza la cámara cuando el cursor llega al borde de la pantalla. El teclado, el arrastre con el botón derecho y el minimapa siguen funcionando igualmente."
"Edge scroll strength:","Intensidad del desplazamiento por el borde:"
"Sets both how far in from the edge the band reaches and how fast the camera moves inside it. At this setting the band is %1 px along the sides and %2 px along the top and bottom, measured at your interface scale.","Define a la vez cuánto se adentra la banda desde el borde y a qué velocidad se mueve la cámara dentro de ella. Con este ajuste la banda mide %1 px en los laterales y %2 px arriba y abajo, medidos a tu escala de interfaz."
"Invalid team configuration: At least two teams must be selected to start a match.","Configuración de equipos no válida: hay que seleccionar al menos dos equipos para iniciar una partida."
"Red","Rojo"
"Blue","Azul"
"Brown","Marrón"
"Green","Verde"
"Yellow","Amarillo"
"Orange","Naranja"
"Purple","Morado"
"Cyan","Cian"
"Pink","Rosa"
"stone %1 / %2 · iron %3 / %4","piedra %1 / %2 · hierro %3 / %4"
"Builders cannot fight. This order needs soldiers - select the spearmen, archers or swordsmen near your camp.","Los constructores no pueden luchar. Esta orden necesita soldados: selecciona a los lanceros, arqueros o espadachines cerca de tu campamento."
"That is a building. Orders in this step need soldiers - left-click one of the troops standing near your camp.","Eso es un edificio. Las órdenes de este paso necesitan soldados: haz clic izquierdo en una de las tropas junto a tu campamento."
"Nothing is selected, so there is nobody to receive the order. Left-click a soldier or drag a box around several.","No hay nada seleccionado, así que nadie puede recibir la orden. Haz clic izquierdo en un soldado o traza un recuadro alrededor de varios."
"Collect and Build are only available to builders - soldiers and buildings cannot do this work. Select a builder (the worker with the hammer) first.","Recolectar y Construir solo están disponibles para los constructores: los soldados y los edificios no pueden hacer este trabajo. Selecciona primero un constructor (el obrero del martillo)."
"No builder is selected. Left-click one of the builders standing by your barracks.","No hay ningún constructor seleccionado. Haz clic izquierdo en uno de los constructores junto a tu cuartel."
"That is a building. Left-click one of the soldiers standing near your camp instead.","Eso es un edificio. Haz clic izquierdo en uno de los soldados junto a tu campamento."
"A Home costs %1 wood and %2 stone; you have %3 wood and %4 stone. The Build card stays grey until the yard holds enough - send a builder to collect the difference.","Una casa cuesta %1 de madera y %2 de piedra; tienes %3 de madera y %4 de piedra. La tarjeta de construcción sigue gris hasta que el patio tenga suficiente: envía un constructor a recolectar la diferencia."
"A red outline means the site is blocked: too close to another building, on water or on a slope. Move it onto flat, open ground and left-click to confirm. Right-click cancels.","Un contorno rojo significa que el sitio está bloqueado: demasiado cerca de otro edificio, sobre agua o en una pendiente. Muévelo a terreno llano y despejado y confirma con clic izquierdo. El clic derecho cancela."
"Recruits come from the barracks. Left-click your barracks to open its production panel on the right.","Los reclutas salen del cuartel. Haz clic izquierdo en tu cuartel para abrir su panel de producción a la derecha."
"The barracks has only %1 population left to draw on. Every recruit costs population; when it runs dry, build Homes - each Home raises families, and a civilian recruited there and sent to the barracks with Deliver refills it.","Al cuartel solo le quedan %1 de población. Cada recluta cuesta población; cuando se agota, construye casas: cada casa cría familias, y un civil reclutado allí y enviado al cuartel con Entregar la repone."
"A recruit card turns grey when a resource is short: soldiers need wood for shafts and iron for blades. Send a builder to collect more.","Una tarjeta de recluta se vuelve gris cuando falta un recurso: los soldados necesitan madera para las astas y hierro para las hojas. Envía un constructor a recolectar más."
"The raiders are here. Keep your soldiers together near the barracks: spearmen in front, archers behind, and the commander close so his aura reaches them.","Los asaltantes han llegado. Mantén a tus soldados juntos cerca del cuartel: lanceros delante, arqueros detrás y el comandante cerca para que su aura los alcance."
"The Roman raid is on its way. The wave tracker under the top bar counts it down and the minimap marks where it will enter.","El asalto romano está en camino. El contador de oleadas bajo la barra superior lleva la cuenta atrás y el minimapa marca por dónde entrará."
"The Aura command only appears when your commander is selected. He is the standard-bearer with the crown badge, near the barracks.","La orden Aura solo aparece cuando tu comandante está seleccionado. Es el portaestandarte con la insignia de la corona, cerca del cuartel."
"The aura is recharging or the commander is wounded; the button lights up again when it is ready.","El aura se está recargando o el comandante está herido; el botón vuelve a iluminarse cuando está lista."
"The Roman commander is still alive. A nation dies with the man who leads it - kill him and the camp falls.","El comandante romano sigue vivo. Una nación muere con el hombre que la dirige: mátalo y el campamento caerá."
"Select your troops","Selecciona tus tropas"
"Move, and read the feedback","Muévete y lee la respuesta"
"Attack the Roman scouts","Ataca a los exploradores romanos"
"Fell timber","Tala madera"
"Quarry stone, mine iron","Extrae piedra y hierro"
"Raise a Home","Levanta una casa"
"Recruit a soldier","Recluta un soldado"
"Assemble an army","Reúne un ejército"
"Defend the camp","Defiende el campamento"
"Guard, Hold and Patrol","Guardia, Mantener y Patrulla"
"Your commander","Tu comandante"
"The camera","La cámara"
"Pause and game speed","Pausa y velocidad de juego"
"Objectives","Objetivos"
"Take the Roman camp","Toma el campamento romano"
"Everything starts with a selection. Left-click a soldier to select it, or hold the left button and drag a box around several. Selected troops show a ring at their feet, and the panel at the bottom lists who is under your command.","Todo empieza con una selección. Haz clic izquierdo en un soldado para seleccionarlo, o mantén pulsado el botón izquierdo y traza un recuadro alrededor de varios. Las tropas seleccionadas muestran un anillo a sus pies, y el panel inferior enumera quién está bajo tu mando."
"With troops selected, right-click on the ground to march there. A marker appears where they are headed and the banner above the command grid confirms the order. A rejected order says why it could not be carried out - read the banner when nothing happens.","Con tropas seleccionadas, haz clic derecho en el suelo para marchar allí. Aparece un marcador donde se dirigen y el cartel sobre la cuadrícula de órdenes confirma la orden. Una orden rechazada dice por qué no pudo cumplirse: lee el cartel cuando no ocurra nada."
"A Roman scouting party stands just beyond your tents; the minimap marks enemies in red. Right-click an enemy to attack it, or press Attack and click the target. While your troops fight, the target panel above the command grid tracks the enemy's health.","Una partida de exploradores romanos está justo más allá de tus tiendas; el minimapa marca a los enemigos en rojo. Haz clic derecho en un enemigo para atacarlo, o pulsa Atacar y haz clic en el objetivo. Mientras tus tropas luchan, el panel de objetivo sobre la cuadrícula de órdenes sigue la salud del enemigo."
"Wood pays for nearly everything. Select a builder, press Collect and click a pine tree. The builder fells it, carries the logs to the stone yard beside your barracks, and only when the load is dropped there does the wood counter in the top bar rise. Auto Gather keeps a builder working the nearest nodes on its own.","La madera lo paga casi todo. Selecciona un constructor, pulsa Recolectar y haz clic en un pino. El constructor lo tala, lleva los troncos al patio de piedra junto a tu cuartel, y solo cuando deja allí la carga sube el contador de madera de la barra superior. Recolección automática mantiene a un constructor trabajando por su cuenta en los nodos más cercanos."
"Boulders yield stone for buildings and towers; ore seams yield iron for blades and armour. Both are hauled to the same barracks yard, which fills up as your stores grow. Gold comes with the camp and from trade at a marketplace. Set one builder on the boulders and another on the ore.","Las rocas dan piedra para edificios y torres; las vetas de mineral dan hierro para hojas y armaduras. Ambos se llevan al mismo patio del cuartel, que se llena a medida que crecen tus reservas. El oro viene con el campamento y del comercio en un mercado. Pon un constructor en las rocas y otro en el mineral."
"Select a builder and press Build to open the structure list. Each card shows its cost in wood, stone and gold; a grey card means you cannot afford it yet. Choose Home, then move the outline: green means the ground is flat and clear, red means it is blocked. Scroll to rotate, left-click to confirm. Homes raise the families your barracks will later recruit from.","Selecciona un constructor y pulsa Construir para abrir la lista de estructuras. Cada tarjeta muestra su coste en madera, piedra y oro; una tarjeta gris significa que aún no puedes pagarla. Elige Casa y mueve el contorno: verde significa terreno llano y despejado, rojo significa bloqueado. Desplaza la rueda para girar, clic izquierdo para confirmar. Las casas crían las familias de las que tu cuartel reclutará después."
"Left-click your barracks and pick a soldier from the production panel. Every recruit costs population and resources: the population comes from the barracks' own pool, shown on the card, and refills when civilians from your Homes are delivered to it. The bar in the top panel shows your army against the map's population cap.","Haz clic izquierdo en tu cuartel y elige un soldado del panel de producción. Cada recluta cuesta población y recursos: la población sale de la reserva propia del cuartel, mostrada en la tarjeta, y se repone cuando se le entregan civiles de tus casas. La barra del panel superior muestra tu ejército frente al límite de población del mapa."
"One soldier is not an army. Keep recruiting until you field eight - mix spearmen to hold a line with archers to punish whatever charges it. If a card turns grey, the tutorial hint tells you what ran short. New recruits gather at the barracks' rally flag; set one from the production panel.","Un soldado no es un ejército. Sigue reclutando hasta desplegar ocho: mezcla lanceros que sostengan la línea con arqueros que castiguen a lo que cargue contra ella. Si una tarjeta se vuelve gris, la pista del tutorial te dice qué se agotó. Los nuevos reclutas se reúnen en la bandera de reunión del cuartel; colócala desde el panel de producción."
"A Roman raid is coming. The wave tracker counts it down and the minimap marks its entry point. Form up near your barracks: spearmen in front, archers behind, and the commander close so his aura reaches them. Break the raid to continue.","Se acerca un asalto romano. El contador de oleadas lleva la cuenta atrás y el minimapa marca su punto de entrada. Fórmate cerca de tu cuartel: lanceros delante, arqueros detrás y el comandante cerca para que su aura los alcance. Rechaza el asalto para continuar."
"Move the view with the arrow keys or WASD, or push the mouse to the screen edge. Scroll to zoom, Q and E rotate, Ctrl with the up and down arrows tilts, and Home returns to your camp. Follow keeps the camera on your selection. Move the camera now.","Mueve la vista con las flechas o WASD, o lleva el ratón al borde de la pantalla. Desplaza la rueda para acercar, Q y E giran, Ctrl con las flechas arriba y abajo inclina, y Home vuelve a tu campamento. Seguir mantiene la cámara sobre tu selección. Mueve la cámara ahora."
"The top-left buttons pause the battle and set the speed, from half up to quadruple. Space pauses too, and + and - step through the speeds without reaching for the bar. The active speed stays lit while paused, and you can change it there. Change the speed or pause and resume now.","Los botones de la esquina superior izquierda pausan la batalla y ajustan la velocidad, de la mitad hasta el cuádruple. La barra espaciadora también pausa, y + y - recorren las velocidades sin acudir a la barra. La velocidad activa permanece resaltada en pausa y puede cambiarse ahí. Cambia la velocidad o pausa y reanuda ahora."
"The star in the top bar shows your current objective. Press Escape and choose Objectives to read the full briefing: what wins the mission, what loses it, and any optional goals. Open it now, then return to the battle.","La estrella de la barra superior muestra tu objetivo actual. Pulsa Escape y elige Objetivos para leer el informe completo: qué gana la misión, qué la pierde y cualquier meta opcional. Ábrelo ahora y vuelve luego a la batalla."
"You know everything the field will ask of you. The Roman camp lies across the meadow. Gather your army, keep the commander behind the line, and take the camp: kill the Roman commander and the mission is won.","Ya sabes todo lo que el campo te pedirá. El campamento romano está al otro lado de la pradera. Reúne tu ejército, mantén al comandante detrás de la línea y toma el campamento: mata al comandante romano y la misión estará ganada."
"Select at least one of your soldiers","Selecciona al menos uno de tus soldados"
"Right-click the ground to move your selected troops","Haz clic derecho en el suelo para mover las tropas seleccionadas"
"Destroy the Roman scouting party (%1 soldiers)","Destruye la partida de exploradores romanos (%1 soldados)"
"Deliver %1 wood to your barracks yard","Entrega %1 de madera en el patio de tu cuartel"
"Deliver %1 stone and %2 iron","Entrega %1 de piedra y %2 de hierro"
"Build a Home with a builder","Construye una casa con un constructor"
"Recruit a soldier at the barracks and wait for it to march out","Recluta un soldado en el cuartel y espera a que salga"
"Field at least %1 soldiers","Despliega al menos %1 soldados"
"Break the Roman raid","Rechaza el asalto romano"
"Give a Guard, Hold or Patrol order","Da una orden de Guardia, Mantener o Patrulla"
"Select your commander and trigger the Aura","Selecciona a tu comandante y activa el Aura"
"Move, zoom or rotate the camera","Mueve, acerca o gira la cámara"
"Change the game speed or pause and resume","Cambia la velocidad de juego o pausa y reanuda"
"Open the Objectives screen","Abre la pantalla de Objetivos"
"Kill the Roman commander and take the camp","Mata al comandante romano y toma el campamento"
"Soldiers can be told how to behave, and the three orders are not the same. Guard: click a spot; they meet anything that comes near it, then walk back to it. Hold: they never take a step, but they reach further, hit harder and brace against a charge - archers and spearmen only. Patrol: click two waypoints and they march the beat between them, fighting whatever crosses it. Hover any of the three to read the full rules, then give one of them to your soldiers.","A los soldados se les puede indicar cómo comportarse, y las tres órdenes no son iguales. Guardia: haz clic en un punto; salen al paso de lo que se acerque y luego regresan a él. Mantener: no dan un paso, pero alcanzan más lejos, golpean más fuerte y se afirman ante una carga: solo arqueros y lanceros. Patrulla: marca dos puntos de ruta y recorren el trayecto entre ellos, combatiendo lo que lo cruce. Pasa el cursor por cualquiera de las tres para leer las reglas completas y luego da una de ellas a tus soldados."
"Your commander carries the standard. Troops near him fight with higher morale, and while he is selected two commands appear: Aura empowers every soldier in a ring around him for a stretch and then recharges - the button prints the radius, how long it lasts and how long until it returns - and Rally plants a flag that the army marches to. If he dies, your lines break and the mission is lost - keep him behind the spears. Trigger the Aura now.","Tu comandante porta el estandarte. Las tropas cercanas combaten con mayor moral y, mientras esté seleccionado, aparecen dos órdenes: Aura potencia a cada soldado en un anillo a su alrededor durante un tiempo y luego recarga —el botón muestra el radio, cuánto dura y cuánto falta para que vuelva— y Reunir planta una bandera hacia la que marcha el ejército. Si muere, tus líneas se rompen y la misión se pierde: mantenlo tras las lanzas. Activa el Aura ahora."
"Show me","Muéstramelo"
"Tutorial","Tutorial"
"Tutorial %1/%2 · %3","Tutorial %1/%2 · %3"
"Show","Mostrar"
"Tutorial step","Paso del tutorial"
"TUTORIAL · STEP %1 OF %2","TUTORIAL · PASO %1 DE %2"
"Open the help screen","Abrir la pantalla de ayuda"
"Hide the tutorial card (it can be shown again)","Ocultar la tarjeta del tutorial (puede volver a mostrarse)"
"Well done - the tutorial is complete.","Bien hecho: el tutorial está completo."
"Well done. The next step follows in a moment, or press Continue.","Bien hecho. El siguiente paso llega en un momento, o pulsa Continuar."
"Resume","Reanudar"
"Pause","Pausa"
"Replay step","Repetir paso"
"Skip step","Saltar paso"
"Continue","Continuar"
"End tutorial","Terminar el tutorial"
"Iron Sepulcher %1","Sepulcro de Hierro %1"
"The shrine answers to you now. Its dead fall still.","El santuario te obedece ahora. Sus muertos quedan inmóviles."
"The shrine is broken. Every risen guardian crumbles.","El santuario está roto. Todos los guardianes alzados se desmoronan."
"Wave %1/%2","Oleada %1/%2"
"The Iron Sepulcher wakes. %1 rises to meet you.","El Sepulcro de Hierro despierta. %1 se alza a tu encuentro."
"%1 claws out of the ground.","%1 se abre paso desde la tierra a zarpazos."
"The risen guardians are put down. The ground is quiet.","Los guardianes alzados han sido abatidos. La tierra está en silencio."
"The barrow gives up its hoard: %1.","El túmulo entrega su tesoro: %1."
"Attack","Ataque"
"Build","Construir"
"Close the unit details","Cerrar los detalles de la unidad"
"Collect","Recolectar"
"Damage per second","Daño por segundo"
"Guard","Guardia"
"Health","Salud"
"Highlighted orders are the ones this selection can carry out right now.","Las órdenes resaltadas son las que esta selección puede ejecutar ahora mismo."
"History","Historia"
"Hold","Mantener"
"In the field","En el campo"
"Medic","Sanador"
"No details are available for this unit.","No hay detalles disponibles para esta unidad."
"Patrol","Patrulla"
"Population %1  ·  Build time %2s","Población %1  ·  Tiempo de creación %2 s"
"Range","Alcance"
"Repair","Reparar"
"Sight","Visión"
"Speed","Velocidad"
"Strengths and weaknesses","Fortalezas y debilidades"
"Unit details","Detalles de la unidad"
"What it can do","Lo que puede hacer"
